,datetime,latitude,longitude,pressure,salinity,temperature,label,anomaly_score
9663,-0.7217744088644001,-0.6772735762762988,-1.0115281533973342,-0.807637647405731,1.5723788389069902,1.356374594167679,0,244.85806072255596
8828,0.1969378108179358,-0.3345983652733424,0.6962536050057951,-0.6556995298872441,1.2670703791976574,1.0343041988702313,0,237.22357947586272
1459,-0.5163556598677154,-0.9993578830097996,-0.2645783199206974,-0.8809055840757569,0.7142145197239846,1.2579010020636154,0,199.82627496820442
10243,-0.3410992639345839,-0.8115110370428548,0.0130377764189852,-0.2880092854925057,-0.8123277788227385,-0.4977238974286257,0,37.34706598667202
16907,-1.0548909846104066,-0.8983352313994837,-1.3388087605384575,-0.951134758395413,1.4238503990483864,1.75059395793741,0,8.935609436593015
18998,-0.8225849648026377,-0.6751453783140475,-1.2199326513447135,0.7850114644491639,-0.6803024989483849,-1.4382604503961467,0,8.721270367433243
1986,0.568863199822789,1.4551847084636638,1.6973940420091718,0.1039910577051906,0.7802271596611614,0.2149909127502867,0,8.521956164318754
11872,0.6169807811906934,1.6542576023532602,1.766540253030197,-0.9271622998536074,0.9617619194883243,0.5500611221868844,0,8.278559358515485
18301,-0.6211339870691479,-0.8534035537573483,-0.6679903775459285,-0.0496352611190572,-0.7298119789012528,-0.4112751334032767,0,8.06698912601826
2638,0.1838982440019839,-0.3755759924579354,0.6045599601575585,-1.1202925292326618,1.1680514192919214,1.0050546170571433,0,8.043917412365841
13575,-0.6516973706125953,-0.7527853382911472,-0.905572588768094,-0.3400058857099435,1.5228693589541222,1.118802990774708,0,8.012069111469964
11715,1.505038474038697,1.733868697712369,0.2620029948753207,0.2724735480201349,0.6647050397711166,0.0801178410566028,0,7.944289110902106
15350,-0.0873745707688323,-0.4402739958232672,0.2631780993477141,1.055798953893223,-0.7215603989091277,-1.4047859289878346,0,7.90846930353407
604,0.494490274460603,1.3152694354214347,0.8730890801002275,0.1306646383362138,-0.4575098391605376,-0.3011017085739782,0,7.841703383247317
360,-0.2229897113863673,-0.5535750146438417,0.1997299306809019,-0.8258702215079494,0.7554724196847274,1.126602879258198,0,7.6450189864204665
5199,0.0832274411097701,-0.1628425806519738,0.1516421896325611,0.4949784801194301,-0.8123277788227385,-1.2936375180981,0,7.617802121344482
7441,-1.1998695793115306,-0.681337570540005,-1.5027816055972325,-1.0011055170459375,-1.2249067784299326,1.2104516804557175,0,7.611181721631925
17949,-0.6430266055397326,-0.7739259615914412,-0.8451714716028296,-0.6351034739569603,1.737410438749903,1.238726276208369,0,7.607541705761418
10776,-0.3060941640153393,-0.734566078983314,0.0261619559397541,-0.2481677346765468,-0.9608562186813424,-0.7239206634498402,0,7.523524311579879
7011,-0.6823701261051046,-0.7073000150536662,-0.9944601812832068,-0.428467634131818,1.613636738867733,1.158452423899116,0,7.4468712095786245
5004,-0.577373055005548,-0.9126043668142788,-0.4805677529363078,-0.3268379155250079,-1.0681267585792036,-0.8646436515061416,0,7.28789088307776
9351,0.3501132254793203,0.8238834468828117,0.8256869723450002,0.3602600159197051,-0.7133088189170026,-0.7300955751659366,0,7.2766712809317236
18659,0.0176103478919396,-0.3291561468680258,0.1483989760171797,-0.6820354702571151,0.4584155399675196,0.8711565314238957,0,7.275491852927677
15771,-1.291784550059389,-0.5140148772459092,-1.7086247868011282,0.0587472627107966,0.4584155399675196,0.4249379110975633,0,7.264313419114242
9867,-0.5431700160460917,-1.0143298734711712,-0.3394431236126226,-1.0574914406583538,-2.561662737157309,0.9995296960480043,0,7.2587213654469815
