,Knn_gradient,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb,Knn_light,Knn_catboost
0,-0.006098914,0,0,0,0.350508761,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.004154274545972725
1,-0.006098914,0,0,0,0.95408222,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.004154274545972725
2,-0.006098914,0,0,0,0.928972066,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.004154274545972725
3,-0.006098914,0,0,0,0.895467461,0.004154275,0.004154275,-0.006098914,0.006657264,-0.006098914,0.004154274545972725
4,-0.006098914,0,0,0,0.865078994,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.004154274545972725
5,-0.006098914,0,0,0,0.033646546,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.004154274545972725
6,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
7,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
8,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
9,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
10,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
11,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
12,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
13,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
14,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
15,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
16,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
17,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
18,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
19,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
20,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
21,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
22,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
23,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
24,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
25,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
26,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
27,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
28,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
29,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
30,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
31,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
32,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
33,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
34,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
35,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
36,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
37,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
38,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
39,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
40,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
41,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
42,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
43,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
44,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
45,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
46,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
47,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
48,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
49,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.004154274545972725
