datetime,platform_code,latitude,longitude,pressure,salinity,temperature,pres_qc,temp_qc,psal_qc,pres_anom,psal_anom,temp_anom
2019-04-05T14:07:30Z,6903266,36.15168,-3.0516,8.0,37.06,15.727,1,1,3,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,197.2,38.39,13.574,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,195.3,38.388,13.578,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,193.1,38.384,13.586,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,191.1,38.379,13.588,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,189.5,38.376,13.594,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,187.6,38.37,13.596,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,185.5,38.365,13.601,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,183.5,38.36,13.609,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,181.5,38.359,13.613,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,179.5,38.359,13.616,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,177.5,38.359,13.619,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,175.4,38.358,13.626,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,173.3,38.36,13.662,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,171.3,38.353,13.688,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,169.2,38.349,13.704,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,167.8,38.347,13.707,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,165.7,38.336,13.729,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,163.6,38.33,13.74,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,161.5,38.33,13.745,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,159.4,38.324,13.796,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,157.3,38.317,13.816,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,155.2,38.316,13.819,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,153.7,38.312,13.822,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,151.6,38.31,13.827,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,149.5,38.301,13.839,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,147.4,38.294,13.851,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,145.3,38.292,13.855,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,143.8,38.29,13.861,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,141.7,38.283,13.882,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,139.5,38.278,13.897,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,137.3,38.272,13.93,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,135.2,38.265,13.966,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,133.8,38.265,13.969,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,131.6,38.261,13.984,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,129.5,38.258,13.997,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,127.4,38.253,14.009,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,125.3,38.245,14.029,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,123.2,38.229,14.062,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,121.2,38.218,14.088,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,119.1,38.207,14.113,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,117.1,38.189,14.18,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,115.1,38.185,14.197,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,113.2,38.182,14.212,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,111.3,38.177,14.23,1,1,1,0,0,0
2019-04-06T09:01:30Z,6903266,36.12804,-3.12249,109.4,38.172,14.25,1,1,1,0,0,0
