,Knn_light_kappa,Knn_light_F1,Knn_catboost_kappa,Knn_catboost_F1,Knn_xgboost_kappa,Knn_xgboost_F1,light_xgboost_kappa,light_xgboost_F1,light_catboost_kappa,light_catboost_F1,xgboost_catboost_kappa,xgboost_catboost_F1,lg_xg_cb_kappa,lg_xg_cb_F1,Knn_xg_cb_kappa,Knn_xg_cb_F1,Knn_lg_cb_kappa,Knn_lg_cb_F1,Knn_lg_xg_kappa,Knn_lg_xg_F1,Knn_lg_xg_cb_kappa,Knn_lg_xg_cb_F1
0,0.5992720975871255,0.6,0.5992720975871255,0.6,0.5992720975871255,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7682702586918897,0.768595041322314,0.7682702586918897,0.768595041322314,0.0,0.0,0.0,0.0
1,0.5468033492559339,0.5472636815920399,0.5808116225345041,0.5817307692307693,0.5468033492559339,0.5472636815920399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8579187747846301,0.8581560283687943,0.8579187747846301,0.8581560283687943,0.0,0.0,0.0,0.0
2,0.5502381068315723,0.5507246376811594,0.6132462651167747,0.6139817629179332,0.5502381068315723,0.5507246376811594,0.0,0.0,0.0,0.0,0.0,0.0,0.8699560635315655,0.8701754385964912,0.8579187747846301,0.8581560283687943,0.8579187747846301,0.8581560283687943,0.0,0.0,0.7918450501089491,0.7921568627450981
3,0.7008792888827071,0.701388888888889,0.6841958299388097,0.6847457627118644,0.7008792888827071,0.701388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.8699560635315655,0.8701754385964912,0.7921273600401705,0.7924528301886793,0.7921273600401705,0.7924528301886793,0.0,0.0,0.8579187747846301,0.8581560283687943
4,0.648066528272944,0.6487935656836462,0.6952551294719892,0.6956521739130435,0.648066528272944,0.6487935656836462,0.0,0.0,0.0,0.0,0.0,0.0,0.8699560635315655,0.8701754385964912,0.8200416636043476,0.8203124999999999,0.8200416636043476,0.8203124999999999,0.0,0.0,0.8830218872371633,0.8832116788321168
5,0.6310798364360722,0.6318537859007833,0.672150773023155,0.672566371681416,0.6310798364360722,0.6318537859007833,0.0,0.0,0.0,0.0,0.0,0.0,0.8699560635315655,0.8701754385964912,0.8291979407198725,0.8294573643410853,0.8291979407198725,0.8294573643410853,0.0,0.0,0.8951348230336585,0.8953068592057762
6,0.6310798364360722,0.6318537859007833,0.6964964814540358,0.6969696969696969,0.6310798364360722,0.6318537859007833,0.0,0.0,0.0,0.0,0.0,0.0,0.8699560635315655,0.8701754385964912,0.8862630494611159,0.8864468864468865,0.8862630494611159,0.8864468864468865,0.0,0.0,0.8762090709257329,0.8764044943820224
7,0.6928010428738777,0.6934097421203438,0.7159677039070913,0.716417910447761,0.6928010428738777,0.6934097421203438,0.0,0.0,0.0,0.0,0.0,0.0,0.8699560635315655,0.8701754385964912,0.8862630494611159,0.8864468864468865,0.8862630494611159,0.8864468864468865,0.0,0.0,0.8762090709257329,0.8764044943820224
8,0.624784165219613,0.6254295532646049,0.7159677039070913,0.716417910447761,0.624784165219613,0.6254295532646049,0.0,0.0,0.0,0.0,0.0,0.0,0.8699560635315655,0.8701754385964912,0.7548450471828358,0.7551867219917012,0.7548450471828358,0.7551867219917012,0.0,0.0,0.9049552833801953,0.9051094890510949
9,0.7022484215556127,0.7027027027027027,0.7387033299163723,0.7391304347826086,0.7022484215556127,0.7027027027027027,0.0,0.0,0.0142625284694677,0.0142857142857142,0.7039621257727895,0.7043478260869567,0.8699560635315655,0.8701754385964912,0.7548450471828358,0.7551867219917012,0.7548450471828358,0.7551867219917012,0.0,0.0,0.9049552833801953,0.9051094890510949
10,0.7022484215556127,0.7027027027027027,0.7367457295505246,0.7372013651877133,0.7022484215556127,0.7027027027027027,0.0,0.0,0.6179441982762819,0.6183574879227053,0.7202449691939521,0.7206477732793523,0.8699560635315655,0.8701754385964912,0.7548450471828358,0.7551867219917012,0.7548450471828358,0.7551867219917012,0.0,0.0,0.9049552833801953,0.9051094890510949
11,0.7005158015973059,0.7010309278350516,0.7353195518098519,0.7357859531772575,0.7005158015973059,0.7010309278350516,0.0,0.0,0.7307235904425008,0.7310924369747899,0.7476552711760722,0.7480314960629922,0.8699560635315655,0.8701754385964912,0.8060363085906674,0.8063241106719368,0.8060363085906674,0.8063241106719368,0.0,0.0,0.9049552833801953,0.9051094890510949
12,0.7005158015973059,0.7010309278350516,0.7192592453449831,0.7196969696969697,0.7005158015973059,0.7010309278350516,0.0,0.0,0.779959949054176,0.7803030303030303,0.7936817848762213,0.7940074906367041,0.8699560635315655,0.8701754385964912,0.8060363085906674,0.8063241106719368,0.8060363085906674,0.8063241106719368,0.0,0.0,0.9049552833801953,0.9051094890510949
