,Random_Knn_F1,Random_Lightgbm_F1,Random_GradientBoosting_F1,Random_Catboost_F1,Uncertainty_Knn_F1,Uncertainty_Lightgbm_F1,Uncertainty_GradientBoosting_F1,Uncertainty_Catboost_F1,Random_Knn_kappa,Random_Lightgbm_kappa,Random_GradientBoosting_kappa,Random_Catboost_kappa,Uncertainty_Knn_kappa,Uncertainty_Lightgbm_kappa,Uncertainty_GradientBoosting_kappa,Uncertainty_Catboost_kappa
118,0.846191873,0.865025112,0.875035806,0.962232333,0.798769148,0.883745696,0.882438729,0.994959484,0.78541214,0.816230774,0.831823125,0.946524005,0.722316544,0.842942616,0.841321766,0.992870879
119,0.846191873,0.866140081,0.875035806,0.963262447,0.798769148,0.883714326,0.882438729,0.995087719,0.78541214,0.817916089,0.831823125,0.947994263,0.722316544,0.842897769,0.841321766,0.993051881
120,0.846191873,0.865935448,0.875035806,0.971104597,0.798769148,0.883714326,0.882438729,0.995119462,0.78541214,0.817593021,0.831823125,0.959296778,0.722316544,0.842897769,0.841321766,0.99309687
121,0.846275544,0.864772529,0.875035806,0.974744554,0.798769148,0.883714326,0.882438729,0.995087406,0.78553787,0.81585032,0.831823125,0.964386322,0.722316544,0.842897769,0.841321766,0.993051622
122,0.846275544,0.864772529,0.858267437,0.962601003,0.798769148,0.883714326,0.88247848,0.995024241,0.78553787,0.81585032,0.808431804,0.947128827,0.722316544,0.842897769,0.841372921,0.992961907
123,0.846275544,0.864772529,0.864144094,0.961393175,0.798769148,0.883714326,0.882438729,0.995024241,0.78553787,0.81585032,0.815099123,0.94547439,0.722316544,0.842897769,0.841321766,0.992961907
124,0.846275544,0.882313191,0.864144094,0.961660016,0.798769148,0.883674701,0.88247848,0.995087406,0.78553787,0.841142311,0.815099123,0.945788457,0.722316544,0.842846703,0.841372921,0.993051622
125,0.846275544,0.882313191,0.864263027,0.956538279,0.798769148,0.883674701,0.88247848,0.995119462,0.78553787,0.841142311,0.815252514,0.938367481,0.722316544,0.842846703,0.841372921,0.99309687
126,0.846275544,0.882313191,0.864144094,0.957227045,0.798769148,0.883674701,0.88247848,0.995024241,0.78553787,0.841142311,0.815099123,0.93933066,0.722316544,0.842846703,0.841372921,0.992961907
127,0.846275544,0.866198414,0.859399908,0.956965395,0.798769148,0.883674701,0.88247848,0.995120084,0.78553787,0.817981487,0.809879087,0.938964345,0.722316544,0.842846703,0.841372921,0.993097384
128,0.846275544,0.864976107,0.859399908,0.957912405,0.798769148,0.883674701,0.88247848,0.995088346,0.78553787,0.816172481,0.809879087,0.940291017,0.722316544,0.842846703,0.841372921,0.993052398
129,0.846275544,0.864976107,0.859399908,0.957872381,0.798769148,0.883674701,0.882606067,0.995151824,0.78553787,0.816172481,0.809879087,0.940257784,0.722316544,0.842846703,0.841532653,0.993142371
130,0.846275544,0.865025112,0.859399908,0.958412578,0.798769148,0.88370607,0.882606067,0.995119462,0.78553787,0.816230774,0.809879087,0.941023075,0.722316544,0.84289155,0.841532653,0.99309687
131,0.846275544,0.864772529,0.864263027,0.958235481,0.798769148,0.883674701,0.88257468,0.995183567,0.78553787,0.81585032,0.815252514,0.940801533,0.722316544,0.842846703,0.841487788,0.993187361
132,0.843560196,0.864772529,0.864263027,0.958227688,0.798769148,0.883674701,0.882606067,0.995119773,0.781387344,0.81585032,0.815252514,0.94075776,0.722316544,0.842846703,0.841532653,0.993097127
133,0.843560196,0.864772529,0.864263027,0.972406679,0.798769148,0.88370607,0.882606067,0.995088346,0.781387344,0.81585032,0.815252514,0.961141956,0.722316544,0.84289155,0.841532653,0.993052398
