,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_Kappa,Random_F1
491,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.422530811,0.423280423
492,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.405674498,0.406417112
493,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.39058851,0.391304348
494,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.363942946,0.364640884
495,0.162837231,0.167101828,0.061558004,0.066592675,0.523995393,0.524752475,0.433126576,0.433862434
496,0.162837231,0.167101828,0.061558004,0.066592675,0.478830741,0.479591837,0.433126576,0.433862434
497,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.424799148,0.425531915
498,0.162837231,0.167101828,0.062635867,0.067665003,0.478830741,0.479591837,0.491686418,0.492462312
499,0.162837231,0.167101828,0.061558004,0.066592675,0.478830741,0.479591837,0.336403555,0.337078652
500,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.476381043,0.47715736
501,0.162837231,0.167101828,0.061558004,0.066592675,0.538462379,0.539215686,0.39058851,0.391304348
502,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.388455418,0.389189189
503,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.317524928,0.318181818
504,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.334500562,0.335195531
505,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.381803268,0.382513661
506,0.162837231,0.167101828,0.061558004,0.066592675,0.523995393,0.524752475,0.424799148,0.425531915
507,0.162837231,0.167101828,0.061558004,0.066592675,0.538462379,0.539215686,0.327017312,0.327683616
508,0.162837231,0.167101828,0.061558004,0.066592675,0.538462379,0.539215686,0.39058851,0.391304348
509,0.162837231,0.167101828,0.061558004,0.066592675,0.538462379,0.539215686,0.345685427,0.346368715
510,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.298214454,0.298850575
511,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.307924593,0.308571429
512,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.336403555,0.337078652
513,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.298214454,0.298850575
514,0.162837231,0.167101828,0.062635867,0.067665003,0.531264368,0.532019704,0.298214454,0.298850575
515,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.288392617,0.289017341
516,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.298214454,0.298850575
517,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.288392617,0.289017341
518,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.288392617,0.289017341
519,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.327017312,0.327683616
520,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.327017312,0.327683616
521,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.298214454,0.298850575
522,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.298214454,0.298850575
523,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.334500562,0.335195531
524,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.336403555,0.337078652
525,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.363942946,0.364640884
526,0.162837231,0.167101828,0.061558004,0.066592675,0.494188443,0.494949495,0.363942946,0.364640884
527,0.162837231,0.167101828,0.061558004,0.066592675,0.531264368,0.532019704,0.327017312,0.327683616
528,0.162837231,0.167101828,0.062597908,0.067627494,0.531264368,0.532019704,0.336403555,0.337078652
529,0.162837231,0.167101828,0.062597908,0.067627494,0.531264368,0.532019704,0.363942946,0.364640884
530,0.162837231,0.167101828,0.062597908,0.067627494,0.531264368,0.532019704,0.345685427,0.346368715
531,0.162837231,0.167101828,0.064993103,0.069994263,0.531264368,0.532019704,0.307924593,0.308571429
532,0.162837231,0.167101828,0.06458903,0.06959498,0.531264368,0.532019704,0.336403555,0.337078652
533,0.162837231,0.167101828,0.06340249,0.068415051,0.531264368,0.532019704,0.298214454,0.298850575
534,0.162837231,0.167101828,0.064911918,0.06991404,0.531264368,0.532019704,0.317524928,0.318181818
535,0.162837231,0.167101828,0.06344199,0.068454079,0.531264368,0.532019704,0.416383066,0.417112299
536,0.162837231,0.167101828,0.064508768,0.06951567,0.531264368,0.532019704,0.298214454,0.298850575
537,0.162837231,0.167101828,0.06430891,0.069318182,0.531264368,0.532019704,0.35486466,0.355555556
538,0.162837231,0.167101828,0.063244938,0.068259386,0.531264368,0.532019704,0.298214454,0.298850575
539,0.162837231,0.167101828,0.063009948,0.068027211,0.531264368,0.532019704,0.35486466,0.355555556
540,0.162837231,0.167101828,0.06430891,0.069318182,0.531264368,0.532019704,0.35486466,0.355555556
541,0.162837231,0.167101828,0.063244938,0.068259386,0.531264368,0.532019704,0.407876907,0.408602151
542,0.162837231,0.167101828,0.064348791,0.06935759,0.531264368,0.532019704,0.327017312,0.327683616
543,0.162837231,0.167101828,0.06430891,0.069318182,0.531264368,0.532019704,0.457590727,0.458333333
544,0.162837231,0.167101828,0.064428688,0.06943654,0.531264368,0.532019704,0.363942946,0.364640884
545,0.162837231,0.167101828,0.063287678,0.068309071,0.531264368,0.532019704,0.449521015,0.45026178
546,0.162837231,0.167101828,0.064110184,0.069121813,0.531264368,0.532019704,0.441366744,0.442105263
547,0.162837231,0.167101828,0.063676923,0.068693694,0.531264368,0.532019704,0.441366744,0.442105263
548,0.162837231,0.167101828,0.063365178,0.06838565,0.531264368,0.532019704,0.629425307,0.630136986
549,0.162837231,0.167101828,0.062826298,0.06785317,0.531264368,0.532019704,0.629425307,0.630136986
550,0.162837231,0.167101828,0.062979406,0.068004459,0.531264368,0.532019704,0.629425307,0.630136986
551,0.162837231,0.167101828,0.062826298,0.06785317,0.531264368,0.532019704,0.629425307,0.630136986
552,0.162837231,0.167101828,0.062597908,0.067627494,0.531264368,0.532019704,0.629425307,0.630136986
553,0.162837231,0.167101828,0.064388717,0.069397042,0.531264368,0.532019704,0.629425307,0.630136986
554,0.162837231,0.167101828,0.064468705,0.069476082,0.531264368,0.532019704,0.629425307,0.630136986
555,0.162837231,0.167101828,0.062826298,0.06785317,0.531264368,0.532019704,0.626548868,0.627272727
556,0.162837231,0.167101828,0.062826298,0.06785317,0.531264368,0.532019704,0.632765868,0.633484163
557,0.162837231,0.167101828,0.062902766,0.067928731,0.531264368,0.532019704,0.635657432,0.636363636
558,0.162837231,0.167101828,0.063403994,0.068424004,0.531264368,0.532019704,0.629425307,0.630136986
559,0.162837231,0.167101828,0.063365178,0.06838565,0.494188443,0.494949495,0.629425307,0.630136986
560,0.162837231,0.167101828,0.063017789,0.068042387,0.494188443,0.494949495,0.635657432,0.636363636
561,0.162837231,0.167101828,0.063365178,0.06838565,0.494188443,0.494949495,0.629425307,0.630136986
562,0.162837231,0.167101828,0.063287678,0.068309071,0.494188443,0.494949495,0.629425307,0.630136986
563,0.162837231,0.167101828,0.063287678,0.068309071,0.486548401,0.487309645,0.626548868,0.627272727
564,0.162837231,0.167101828,0.063094685,0.06811837,0.486548401,0.487309645,0.629425307,0.630136986
565,0.162837231,0.167101828,0.064110184,0.069121813,0.5166544,0.517412935,0.629425307,0.630136986
566,0.162837231,0.167101828,0.063991487,0.069004525,0.486548401,0.487309645,0.629425307,0.630136986
567,0.162837231,0.167101828,0.063248994,0.068270845,0.509240312,0.51,0.64503324,0.64573991
568,0.162837231,0.167101828,0.063133198,0.068156425,0.509240312,0.51,0.629425307,0.630136986
569,0.162837231,0.167101828,0.063017789,0.068042387,0.509240312,0.51,0.629425307,0.630136986
570,0.162837231,0.167101828,0.063326407,0.068347339,0.523995393,0.524752475,0.623136232,0.623853211
571,0.162837231,0.167101828,0.064952487,0.069954128,0.523995393,0.524752475,0.635657432,0.636363636
572,0.162837231,0.167101828,0.064039948,0.069044879,0.509240312,0.51,0.629425307,0.630136986
573,0.162837231,0.167101828,0.063009948,0.068027211,0.523995393,0.524752475,0.623136232,0.623853211
574,0.162837231,0.167101828,0.064548876,0.069555302,0.478830741,0.479591837,0.629425307,0.630136986
575,0.162837231,0.167101828,0.063009948,0.068027211,0.478830741,0.479591837,0.629425307,0.630136986
576,0.162837231,0.167101828,0.061520621,0.06655574,0.478830741,0.479591837,0.635657432,0.636363636
577,0.162837231,0.167101828,0.063755298,0.068771139,0.531264368,0.532019704,0.629425307,0.630136986
578,0.162837231,0.167101828,0.06462923,0.069634703,0.531264368,0.532019704,0.629425307,0.630136986
579,0.162837231,0.167101828,0.063755298,0.068771139,0.531264368,0.532019704,0.626548868,0.627272727
580,0.162837231,0.167101828,0.055375871,0.060582822,0.531264368,0.532019704,0.632765868,0.633484163
581,0.162837231,0.167101828,0.063873193,0.068887634,0.531264368,0.532019704,0.629425307,0.630136986
