,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_F1,Random_Kappa
175,0.9528895295666472,0.9666207073460096,0.9257082340591268,0.9473244684268004,0.9525718586279648,0.9663951773231578,0.9653213846202392,0.9883681576736248
176,0.9528275344205296,0.966568275154004,0.9261775487401308,0.9476424645646514,0.952397947985296,0.9662755658139386,0.963256824407292,0.9882317179359684
177,0.9530191522468066,0.9667094291212316,0.9259931498594488,0.9474869682733766,0.9531558100863878,0.9668067092139444,0.9635767849265864,0.9883681576736248
178,0.9531575600735328,0.9668088381489912,0.9265922724065374,0.9479400989780834,0.9530226623659532,0.9667136993329912,0.9638037583554042,0.9881407496146484
179,0.9528433937884918,0.9665875713461168,0.92675994237265,0.9480289621882542,0.952852199941504,0.966598281831004,0.9655085281111812,0.9882771995476686
180,0.9537243098554888,0.9671994351370434,0.9248331538044794,0.9467197329567338,0.9528416321631246,0.9665854284248332,0.9627763431378724,0.9881862346249934
181,0.9530652899126416,0.9667425675892368,0.926408266204668,0.947808201568325,0.955107002118682,0.9681688240773456,0.9631496062992126,0.9883681576736248
182,0.9535092065314636,0.9670527092489812,0.9235109603840956,0.9457548685648178,0.9547086103602482,0.9678910865656308,0.9631449631449632,0.9883681576736248
183,0.95456509259446,0.9677854504576844,0.9261800655098176,0.947622418119812,0.9544864072088574,0.9677357218530288,0.9638683595477228,0.9880511138662398
184,0.9546590813122884,0.9678538167571212,0.9260011041569716,0.9474735113200864,0.9528433937884918,0.9665875713461168,0.9646561780748496,0.9882771995476686
185,0.9542591164957543,0.96757416206498,0.9258427471930196,0.9474191372498636,0.9547958132362758,0.967951188182402,0.9641878484361712,0.9883681576736248
186,0.954483004235021,0.9677315781024242,0.9257746519669428,0.9472665074549796,0.9531114258548516,0.9667757039317556,0.9629932915498726,0.988052006613306
187,0.9541223949858284,0.9674768035444826,0.9429067150488996,0.9593242365172192,0.9545189432898558,0.9677522965246996,0.964874597258197,0.9882776374998787
