,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost
0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
1,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
2,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
3,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
4,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
5,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
6,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
7,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
8,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
9,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
10,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
11,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
12,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
13,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
14,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
15,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
16,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
17,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
18,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
19,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
20,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
21,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
22,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
23,0.003613303,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
24,0.003613303,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
25,0.003613303,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
26,0.003613303,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
27,0.00082518,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
28,0.00082518,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
29,0.00082518,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
30,0.00082518,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
31,0.00082518,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0,-0.002727373,0,0,0
32,0.00082518,0,0,0,-0.002727373,0,0,0.002846158,-0.002727373,0,0,0.002846158,-0.002727373,0,0,0.002846158
33,0.00082518,0,0,0,-0.002727373,0,0,0.00164147,-0.002727373,0,0,0.00164147,-0.002727373,0,0,0.00164147
34,0.00082518,0,0,0,-0.002727373,0,0,0.029195979,-0.002727373,0,0,0.029195979,-0.002727373,0,0,0.029195979
35,0.00082518,0,0,0,-0.002727373,0,0,0.033947479,-0.002727373,0,0,0.033947479,-0.002727373,0,0,0.033947479
36,0.00082518,0,0,0,-0.002727373,0,0,0.031028596,-0.002727373,0,0,0.031028596,-0.002727373,0,0,0.031028596
37,0.00082518,0,0,0,-0.002727373,0,0,0.024453536,-0.002727373,0,0,0.024453536,-0.002727373,0,0,0.024453536
38,0.00082518,0,0,0,-0.002727373,0,0,0.017966621,-0.002727373,0,0,0.017966621,-0.002727373,0,0,0.017966621
39,0.00082518,0,0,0,-0.002727373,0,0,0.043969899,-0.002727373,0,0,0.043969899,-0.002727373,0,0,0.043969899
40,0.00082518,0,0,0,-0.002727373,0,0,0.049625395,-0.002727373,0,0,0.049625395,-0.002727373,0,0,0.049625395
41,-0.005029232,0,0,0,-0.002727373,0,0,0.095073322,-0.002727373,0,0,0.095073322,-0.002727373,0,0,0.095073322
42,-0.005029232,0,0,0,-0.002727373,0,0,0.35903367,-0.002727373,0,0,0.35903367,-0.002727373,0,0,0.35903367
43,-0.005029232,0,0,0,-0.002727373,0,0,0.953591704,-0.002727373,0,0,0.953591704,-0.002727373,0,0,0.953591704
44,-0.005029232,0,0,0,-0.002727373,0,0,0.107076565,-0.002727373,0,0,0.107076565,-0.002727373,0,0,0.107076565
45,-0.005029232,0,0,0,-0.002727373,0,0,0.10031253,-0.002727373,0,0,0.10031253,-0.002727373,0,0,0.10031253
46,-0.005029232,0,0,0,-0.002727373,0,0,0.138328705,-0.002727373,0,0,0.138328705,-0.002727373,0,0,0.138328705
47,-0.005029232,0,0,0,-0.002727373,0,0,0.064356625,-0.002727373,0,0,0.064356625,-0.002727373,0,0,0.064356625
48,-0.005029232,0,0,0,-0.002727373,0,0,0.06263118,-0.002727373,0,0,0.06263118,-0.002727373,0,0,0.06263118
49,-0.005029232,0,0,0,-0.002727373,0,0,0.060282079,-0.002727373,0,0,0.060282079,-0.002727373,0,0,0.060282079
50,-0.005029232,0,0,0,-0.002727373,0,0,0.060555725,-0.002727373,0,0,0.060555725,-0.002727373,0,0,0.060555725
51,-0.005029232,0,0,0,-0.002727373,0,0,0.067632235,-0.002727373,0,0,0.067632235,-0.002727373,0,0,0.067632235
52,-0.005029232,0,0,0,-0.002727373,0,0,0.058544233,-0.002727373,0,0,0.058544233,-0.002727373,0,0,0.058544233
53,-0.005029232,0,0,0,-0.002727373,0,0,0.062336266,-0.002727373,0,0,0.062336266,-0.002727373,0,0,0.062336266
54,-0.005029232,0,0,0,-0.002727373,0,0,0.097514652,-0.002727373,0,0,0.097514652,-0.002727373,0,0,0.097514652
55,-0.005029232,0,0,0,-0.002727373,0,0,0.107633129,-0.002727373,0,0,0.107633129,-0.002727373,0,0,0.107633129
56,-0.005029232,0,0,0,-0.002727373,0,0,0.076401479,-0.002727373,0,0,0.076401479,-0.002727373,0,0,0.076401479
57,-0.005029232,0,0,0,-0.002727373,0,0,0.100635901,-0.002727373,0,0,0.100635901,-0.002727373,0,0,0.100635901
58,-0.005029232,0,0,0,-0.002727373,0,0,0.089577938,-0.002727373,0,0,0.089577938,-0.002727373,0,0,0.089577938
59,-0.005029232,0,0,0,-0.002727373,0,0,0.101801733,-0.002727373,0,0,0.101801733,-0.002727373,0,0,0.101801733
60,-0.005029232,0,0,0,-0.002727373,0,0,0.102980041,-0.002727373,0,0,0.102980041,-0.002727373,0,0,0.102980041
61,-0.005029232,0,0,0,-0.002727373,0,0,0.095916911,-0.002727373,0,0,0.095916911,-0.002727373,0,0,0.095916911
62,-0.005029232,0,0,0,-0.002727373,0,0,0.062297099,-0.002727373,0,0,0.062297099,-0.002727373,0,0,0.062297099
63,-0.005029232,0,0,0,-0.002727373,0,0,0.07416967,-0.002727373,0,0,0.07416967,-0.002727373,0,0,0.07416967
64,-0.005029232,0,0,0,-0.002727373,0,0,0.059891287,-0.002727373,0,0,0.059891287,-0.002727373,0,0,0.059891287
65,-0.005029232,0,0,0,-0.002727373,0,0,0.088752619,-0.002727373,0,0,0.088752619,-0.002727373,0,0,0.088752619
66,-0.005029232,0,0,0,-0.002727373,0,0,0.100674507,-0.002727373,0,0,0.100674507,-0.002727373,0,0,0.100674507
67,-0.005029232,0,0,0,-0.002727373,0,0,0.104576662,-0.002727373,0,0,0.104576662,-0.002727373,0,0,0.104576662
68,-0.005029232,0,0,0,-0.002727373,0,0,0.097040701,-0.002727373,0,0,0.097040701,-0.002727373,0,0,0.097040701
69,-0.005029232,0,0,0,-0.002727373,0,0,0.10015643,-0.002727373,0,0,0.10015643,-0.002727373,0,0,0.10015643
70,-0.005029232,0,0,0,-0.002727373,0,0,0.10118378,-0.002727373,0,0,0.10118378,-0.002727373,0,0,0.10118378
71,-0.005029232,0,0,0,-0.002727373,0,0,0.097669845,-0.002727373,0,0,0.097669845,-0.002727373,0,0,0.097669845
72,-0.005029232,0,0,0,-0.002727373,0,0,0.084199485,-0.002727373,0,0,0.084199485,-0.002727373,0,0,0.084199485
73,-0.005029232,0,0,0,-0.002727373,0,0,0.100353168,-0.002727373,0,0,0.100353168,-0.002727373,0,0,0.100353168
74,-0.005029232,0,0,0,-0.002727373,0,0,0.12631031,-0.002727373,0,0,0.12631031,-0.002727373,0,0,0.12631031
75,-0.005029232,0,0,0,-0.002727373,0,0,0.103210098,-0.002727373,0,0,0.103210098,-0.002727373,0,0,0.103210098
76,-0.005029232,0,0,0,-0.002727373,0,0,0.135801818,-0.002727373,0,0,0.135801818,-0.002727373,0,0,0.135801818
77,-0.005029232,0,0,0,-0.002727373,0,0,0.10455862,-0.002727373,0,0,0.10455862,-0.002727373,0,0,0.10455862
78,-0.005029232,0,0,0,-0.002727373,0,0,0.104435953,-0.002727373,0,0,0.104435953,-0.002727373,0,0,0.104435953
79,-0.005029232,0,0,0,-0.002727373,0,0,0.468366063,-0.002727373,0,0,0.468366063,-0.002727373,0,0,0.468366063
80,-0.005029232,0,0,0,-0.002727373,0,0,0.56128259,-0.002727373,0,0,0.56128259,-0.002727373,0,0,0.56128259
81,-0.005029232,0,0,0,-0.002727373,0,0,0.552472345,-0.002727373,0,0,0.552472345,-0.002727373,0,0,0.552472345
82,-0.005029232,0,0,0,-0.002727373,0,0,0.66742138,-0.002727373,0,0,0.66742138,-0.002727373,0,0,0.66742138
83,-0.005029232,0,0,0,-0.002727373,0,0,0.106379923,-0.002727373,0,0,0.106379923,-0.002727373,0,0,0.106379923
84,-0.005029232,0,0,0,-0.002727373,0,0,0.104108913,-0.002727373,0,0,0.104108913,-0.002727373,0,0,0.104108913
85,-0.005029232,0,0,0,-0.002727373,0,0,0.600471171,-0.002727373,0,0,0.600471171,-0.002727373,0,0,0.600471171
86,-0.005029232,0,0,0,-0.002727373,0,0,0.738854446,-0.002727373,0,0,0.738854446,-0.002727373,0,0,0.738854446
87,-0.005029232,0,0,0,-0.002727373,0,0,0.256858701,-0.002727373,0,0,0.256858701,-0.002727373,0,0,0.256858701
88,-0.005029232,0,0,0,-0.002727373,0,0,0.757534605,-0.002727373,0,0,0.757534605,-0.002727373,0,0,0.757534605
