,datetime,latitude,longitude,pressure,salinity,temperature,label,anomaly_score
10178,0.297578232613188,0.5212788266635622,1.0353581170845625,0.5969458389873926,-38.30750726312663,-1.054765933291214,1,238.5596235265476
9304,0.297578232613188,0.5212788266635622,1.0353581170845625,0.5901930337643487,-37.70514192370009,-1.0404661377381488,1,231.0721699537606
1548,0.297578232613188,0.5212788266635622,1.0353581170845625,0.6773042211416145,-34.59429626666168,-1.1863890514501103,1,194.2193028866775
10797,0.297578232613188,0.5212788266635622,1.0353581170845625,0.826541216570884,-14.856516925452404,-1.325812058092497,1,35.306261764718364
16024,-1.287306376367238,-0.5298664181566245,-1.6952446624270714,-0.0205981986599687,-4.665815635154138,0.4935119306815806,1,4.139802739987512
1466,-1.287306376367238,-0.5298664181566245,-1.6952446624270714,-0.0232993207491863,-4.624557735193396,0.5068367401742098,1,4.07413844034369
780,1.1549631699686822,1.9152327856799125,0.1306864712433134,5.514000962146782,-0.6225414390033918,-1.6436575137947205,0,3.161529428162956
14815,1.3300372793200437,2.168138878946744,0.3065822364019526,5.667289640709877,-0.6307930189955169,-1.6426825277342842,0,3.1580387171768507
6983,1.067453458280267,2.27721884092337,0.1568133965953353,5.464367843757409,-0.6307930189955169,-1.633582657836879,0,3.111642312501227
8017,1.505038474038697,1.733868697712369,0.2620029948753207,5.614617759970135,-0.6225414390033918,-1.6374826020786242,0,3.1063670198210525
10730,1.5925542619465043,1.510596386772309,0.5514971742602772,5.716585118838098,-0.6225414390033918,-1.6514574022782107,0,3.0830177916982806
514,1.5925542619465043,1.510596386772309,0.5514971742602772,5.665939079665269,-0.6225414390033918,-1.6511324069247315,0,3.0193583203904133
951,-1.287306376367238,-0.5298664181566245,-1.6952446624270714,-0.0489599805967529,-3.898418695884685,0.6049853369247941,1,3.0087743316227464
10314,1.5925542619465043,1.510596386772309,0.5514971742602772,5.648381786085355,-0.6225414390033918,-1.6511324069247315,0,2.997461218458905
53,0.7175604407920222,1.8424107203516755,1.8764807108861703,5.746972742341795,-0.6225414390033918,-1.655032351166477,0,2.961142144599758
11130,1.1549631699686822,1.9152327856799125,0.1306864712433134,5.328298818513075,-0.6225414390033918,-1.6387825834925391,0,2.9358543206519196
18680,1.505038474038697,1.733868697712369,0.2620029948753207,5.4640302034962565,-0.6225414390033918,-1.6319576810694854,0,2.9215630453229253
19111,1.4175773721054206,1.9858167092397343,0.0826622493556426,5.362062844628295,-0.6225414390033918,-1.6374826020786242,0,2.9167728360091876
7495,1.1549631699686822,1.9152327856799125,0.1306864712433134,5.295547713181312,-0.6225414390033918,-1.6381325927855814,0,2.8970578732601893
3921,1.6818443059168742,1.4825018177318918,0.9133359412270498,5.730090729284186,-0.6225414390033918,-1.6417075416738478,0,2.8955502450698067
17683,1.2425397200704131,1.9008380002009244,0.5611726369987914,5.463354922973953,-0.6307930189955169,-1.6371576067251454,0,2.8114246612920266
13548,0.8925373306331064,2.2528780675506845,1.2816275076336423,5.615968321014743,-0.6307930189955169,-1.6420325370273268,0,2.8049875994410236
16946,1.3300372793200437,2.168138878946744,0.3065822364019526,5.363075765411751,-0.6307930189955169,-1.6361826206647092,0,2.792962919635647
11654,1.3300372793200437,2.168138878946744,0.3065822364019526,5.345518471831837,-0.6225414390033918,-1.6355326299577515,0,2.772561483729108
3965,1.2425397200704131,1.9008380002009244,0.5611726369987914,5.429253256597581,-0.6225414390033918,-1.6365076160181875,0,2.770790990244619
12784,0.7175604407920222,1.8424107203516755,1.8764807108861703,5.581866654638373,-0.6225414390033918,-1.655032351166477,0,2.7623231991359014
8025,0.9800105850051676,2.352106279181765,0.7780307879470936,5.428915616336429,-0.6307930189955169,-1.6384575881390604,0,2.7529467890223747
10758,1.1549631699686822,1.9152327856799125,0.1306864712433134,5.126389942344064,-0.6225414390033918,-1.635207634604273,0,2.701434861653968
13386,0.7175604407920222,1.8424107203516755,1.8764807108861703,5.529870054420934,-0.6225414390033918,-1.654707355812998,0,2.701271131184578
4481,1.3300372793200437,2.168138878946744,0.3065822364019526,5.277315139079094,-0.6307930189955169,-1.6342326485438363,0,2.6946576716786304
17192,0.8050458476028681,2.1964415559059782,1.8051393524008168,5.59841102743483,-0.6225414390033918,-1.6569823232873495,0,2.6898464878588277
4569,0.8925373306331064,2.2528780675506845,1.2816275076336423,5.514338602407934,-0.6225414390033918,-1.6407325556134116,0,2.6854839089562645
10135,0.9800105850051676,2.352106279181765,0.7780307879470936,5.362400484889447,-0.6307930189955169,-1.637807597432103,0,2.676537287341482
17091,-1.287306376367238,-0.5298664181566245,-1.6952446624270714,-0.0536869442528837,-3.642619716128221,0.613435216115242,1,2.6739963109618237
6442,1.5925542619465043,1.510596386772309,0.5514971742602772,5.377931936902447,-0.6225414390033918,-1.6488574394503803,0,2.670849862265562
16518,1.067453458280267,2.27721884092337,0.1568133965953353,5.058861890113625,-0.6307930189955169,-1.6270827507673038,0,2.64489537226006
18869,1.6818443059168742,1.4825018177318918,0.9133359412270498,5.497456589350324,-0.6225414390033918,-1.6365076160181875,0,2.614377617256782
375,2.396407706455524,1.9846819320975035,0.8818864838530105,5.70004074604164,-0.6307930189955169,-1.629357718241655,0,2.592999609560161
19901,1.6818443059168742,1.4825018177318918,0.9133359412270498,5.462679642451648,-0.6225414390033918,-1.6358576253112302,0,2.573632564200783
7847,2.396407706455524,1.9846819320975035,0.8818864838530105,5.682483452461725,-0.6307930189955169,-1.628382732181219,0,2.572567627906059
5493,2.753683330505456,1.7304368803341257,0.8442906135788532,5.613942479447831,-0.6307930189955169,-1.6235078018790374,0,2.552786612907011
13186,1.1549631699686822,1.9152327856799125,0.1306864712433134,4.990996197622034,-0.6307930189955169,-1.6316326857160066,0,2.5506871107212863
11360,2.307050824071838,2.061760393350243,0.8647288376297021,5.649394706868811,-0.6225414390033918,-1.6274077461207828,0,2.54212662479187
9848,2.2177486276626843,2.0340545541959205,0.6036706919081797,5.479561655509258,-0.6225414390033918,-1.6319576810694854,0,2.5243692709308108
18109,1.1549631699686822,1.9152327856799125,0.1306864712433134,4.923130505130444,-0.6307930189955169,-1.6306576996555702,0,2.476994162169087
5660,0.7175604407920222,1.8424107203516755,1.8764807108861703,5.32897409903538,-0.6225414390033918,-1.6521073929851682,0,2.4723965917758437
4589,3.4682831883604592,1.5891276768922655,2.006042984757323,-1.0838273810282248,1.0607808793940603,0.8740814896052044,0,2.464952658837816
16153,3.021705367901373,1.602913844872826,1.1440730287817278,5.614617759970135,-0.6225414390033918,-1.635207634604273,0,2.4479339006740344
3526,1.4175773721054206,1.9858167092397343,0.0826622493556426,4.922792864869291,-0.6307930189955169,-1.622207820465123,0,2.425572283043069
16253,1.5925542619465043,1.510596386772309,0.5514971742602772,5.1594786879369785,-0.6225414390033918,-1.6439825091481994,0,2.4216294457795393
16598,2.5750546328095782,1.7622695387842506,0.8506107700655097,5.497456589350324,-0.6307930189955169,-1.6238327972325164,0,2.416542110934771
2283,2.128452507472922,1.844900162248476,1.0328920790820832,5.547764988262001,-0.6225414390033918,-1.6326076717764428,0,2.416022820311618
15868,0.8050458476028681,2.1964415559059782,1.8051393524008168,5.344167910787228,-0.6225414390033918,-1.652432388338647,0,2.4036145582858692
2585,1.067453458280267,2.27721884092337,0.1568133965953353,4.8211631462624815,-0.6307930189955169,-1.624157792585995,0,2.392519868029466
20273,3.289605880909443,1.662114657929762,2.0662516762299696,-1.088891984945508,0.9205040195275817,0.9995296960480043,0,2.384841899048529
5815,1.6818443059168742,1.4825018177318918,0.9133359412270498,5.294197152136704,-0.6225414390033918,-1.6319576810694854,0,2.3809420156622676
1230,1.2425397200704131,1.9008380002009244,0.5611726369987914,5.075406262910082,-0.6307930189955169,-1.6264327600603463,0,2.36911015539865
14287,2.9323302568595104,1.949044432641064,1.1084780120686728,5.616981241798201,-0.6307930189955169,-1.6264327600603463,0,2.3676671051979823
9222,0.7175604407920222,1.8424107203516755,1.8764807108861703,5.226669099906265,-0.6225414390033918,-1.6504824162177745,0,2.3601279275776026
14026,3.289605880909443,1.662114657929762,2.0662516762299696,-1.061205483531028,0.9040008595433312,1.0024546542293131,0,2.3600304219620174
19623,2.753683330505456,1.7304368803341257,0.8442906135788532,5.429590896858733,-0.6307930189955169,-1.6179828808698988,0,2.348538585580337
20236,1.067453458280267,2.27721884092337,0.1568133965953353,4.7715300278731085,-0.6307930189955169,-1.623182806525559,0,2.34176501281371
15856,2.128452507472922,1.844900162248476,1.0328920790820832,5.47989929577041,-0.6307930189955169,-1.6303327043020914,0,2.3400873414608245
13122,3.378926305976774,1.6019086443592894,2.1360143967516145,-1.089567265467812,0.9122524395354564,0.8058324653746656,0,2.338988157982999
8516,3.378926305976774,1.6019086443592894,2.1360143967516145,-1.083489740767073,0.9205040195275817,0.8058324653746656,0,2.338055514613527
119,3.289605880909443,1.662114657929762,2.0662516762299696,-1.047024592562636,0.9122524395354564,0.9725550817092676,0,2.3351300508552417
5777,1.2425397200704131,1.9008380002009244,0.5611726369987914,5.041979877056015,-0.6307930189955169,-1.624482787939474,0,2.3328744537804496
10747,2.753683330505456,1.7304368803341257,0.8442906135788532,5.412033603278819,-0.6307930189955169,-1.6163579041025051,0,2.329715422171469
12336,2.9323302568595104,1.949044432641064,1.1084780120686728,5.580853733854916,-0.6307930189955169,-1.625782769353389,0,2.3266959447863833
12565,1.7711525785454203,1.5505216946692977,1.2715727981417166,5.412708883801124,-0.6307930189955169,-1.6342326485438363,0,2.32531293980061
6976,3.4682831883604592,1.5891276768922655,2.006042984757323,-0.9967161936509592,0.9370071795118904,0.8324820843599235,0,2.323299211308681
4144,-1.287306376367238,-0.5298664181566245,-1.6952446624270714,-0.0607773897370796,-3.353814416403196,0.6293599884357008,1,2.3218058502685577
14426,3.378926305976774,1.6019086443592894,2.1360143967516145,-1.0666077277094632,0.9040008595433312,0.8068074514351018,0,2.3193500951255523
7579,1.2425397200704131,1.9008380002009244,0.5611726369987914,5.024760223737253,-0.6307930189955169,-1.6238327972325164,0,2.3143504249403986
18719,1.6818443059168742,1.4825018177318918,0.9133359412270498,5.228019660950874,-0.6307930189955169,-1.630007708948613,0,2.3074520675323154
10974,0.9800105850051676,2.352106279181765,0.7780307879470936,5.023747302953797,-0.6307930189955169,-1.6270827507673038,0,2.306155144221165
17793,3.4682831883604592,1.5891276768922655,2.006042984757323,5.666614360187572,-0.6225414390033918,-1.6465824719760294,0,2.304153677536702
1128,1.3300372793200437,2.168138878946744,0.3065822364019526,4.906586132333986,-0.6307930189955169,-1.620582843697729,0,2.2927251234958566
