,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost
0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
1,0.028818444,0,0.013645224,0,0.028818444,0,0,0,0.028818444,0,0,0,0.028818444,0,0,0
2,0.028818444,0,0.013645224,0,0.028818444,0,0,0,0.028818444,0,0,0,0.028818444,0,0,0
3,0.028818444,0,0.013645224,0,0.028818444,0,0.013487476,0,0.028818444,0,0.013487476,0,0.028818444,0,0.013487476,0
4,0.028818444,0,0.013645224,0,0.028818444,0,0.013270142,0,0.028818444,0,0.013270142,0,0.028818444,0,0.013270142,0
5,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
6,0.028818444,0,0.013645224,0,0.028818444,0,0.00472534,0,0.028818444,0,0.00472534,0,0.028818444,0,0.00472534,0
7,0.028818444,0,0.013645224,0,0.028818444,0,0.007387508,0,0.028818444,0,0.007387508,0,0.028818444,0,0.007387508,0
8,0.028818444,0,0.013645224,0,0.028818444,0,0.022774327,0,0.028818444,0,0.022774327,0,0.028818444,0,0.022774327,0
9,0.028818444,0,0.013645224,0,0.028818444,0,0.024875622,0,0.028818444,0,0.024875622,0,0.028818444,0,0.024875622,0
10,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
11,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
12,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
13,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
14,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
15,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
16,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
17,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
18,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
19,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0,0.028818444,0,0.013645224,0
20,0.028818444,0,0.013645224,0,0.028818444,0,0.014842301,0,0.028818444,0,0.014842301,0,0.028818444,0,0.014842301,0
21,0.028818444,0,0.013645224,0,0.028818444,0,0.01480111,0,0.028818444,0,0.01480111,0,0.028818444,0,0.01480111,0
22,0.028818444,0,0.013645224,0,0.028818444,0,0.015974441,0,0.028818444,0,0.015974441,0,0.028818444,0,0.015974441,0
23,0.028818444,0,0.013645224,0,0.028818444,0,0.002942799,0,0.028818444,0,0.002942799,0,0.028818444,0,0.002942799,0
24,0.028818444,0,0.013645224,0,0.028818444,0,0.015217391,0,0.028818444,0,0.015217391,0,0.028818444,0,0.015217391,0
25,0.028818444,0,0.013645224,0,0.028818444,0,0.015625,0,0.028818444,0,0.015625,0,0.028818444,0,0.015625,0
26,0.028818444,0,0.013645224,0,0.028818444,0,0.003992016,0,0.028818444,0,0.003992016,0,0.028818444,0,0.003992016,0
27,0.028818444,0,0.013645224,0,0.028818444,0,0,0,0.028818444,0,0,0,0.028818444,0,0,0
28,0.028818444,0,0.013645224,0,0.028818444,0,0.013861386,0,0.028818444,0,0.013861386,0,0.028818444,0,0.013861386,0
29,0.028818444,0,0.013645224,0,0.028818444,0,0.013861386,0,0.028818444,0,0.013861386,0,0.028818444,0,0.013861386,0
30,0.028818444,0,0.013645224,0,0.028818444,0,0,0,0.028818444,0,0,0,0.028818444,0,0,0
