,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lighgtbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost
0,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
1,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
2,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
3,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
4,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
5,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
6,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
7,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
8,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
9,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
10,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
11,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
12,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
13,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
14,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
15,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
16,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
17,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
18,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
19,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
20,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
21,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
22,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
23,0.494146607,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
24,0.494146607,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
25,0.494146607,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
26,0.494146607,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
27,0.492279433,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
28,0.492279433,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
29,0.492279433,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
30,0.492279433,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
31,0.492279433,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708,0.492188388,0,0,0.495168708
32,0.492279433,0,0,0.495168708,0.492188388,0,0,0.496250564,0.492188388,0,0,0.496250564,0.492188388,0,0,0.496250564
33,0.492279433,0,0,0.495168708,0.492188388,0,0,0.495303473,0.492188388,0,0,0.495303473,0.492188388,0,0,0.495303473
34,0.492279433,0,0,0.495168708,0.492188388,0,0,0.501209324,0.492188388,0,0,0.501209324,0.492188388,0,0,0.501209324
35,0.492279433,0,0,0.495168708,0.492188388,0,0,0.507452299,0.492188388,0,0,0.507452299,0.492188388,0,0,0.507452299
36,0.492279433,0,0,0.495168708,0.492188388,0,0,0.506703999,0.492188388,0,0,0.506703999,0.492188388,0,0,0.506703999
37,0.492279433,0,0,0.495168708,0.492188388,0,0,0.504227738,0.492188388,0,0,0.504227738,0.492188388,0,0,0.504227738
38,0.492279433,0,0,0.495168708,0.492188388,0,0,0.501919153,0.492188388,0,0,0.501919153,0.492188388,0,0,0.501919153
39,0.492279433,0,0,0.495168708,0.492188388,0,0,0.511677406,0.492188388,0,0,0.511677406,0.492188388,0,0,0.511677406
40,0.492279433,0,0,0.495168708,0.492188388,0,0,0.513778403,0.492188388,0,0,0.513778403,0.492188388,0,0,0.513778403
41,0.48853135,0,0,0.495168708,0.492188388,0,0,0.531399499,0.492188388,0,0,0.531399499,0.492188388,0,0,0.531399499
42,0.48853135,0,0,0.495168708,0.492188388,0,0,0.644054681,0.492188388,0,0,0.644054681,0.492188388,0,0,0.644054681
