,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost
0,0,0,0,0.329545455,0,0,0,0.329545455,0,0,0,0.329545455,0,0,0,0.329545455
1,0,0,0,0.329545455,0.329545455,0,0,0.633027523,0.329545455,0,0,0.633027523,0.329545455,0,0,0.633027523
2,0,0,0,0.329545455,0.329545455,0,0,0.721030043,0.329545455,0,0,0.721030043,0.329545455,0,0,0.721030043
3,0,0,0,0.329545455,0.310344828,0,0,0.731914894,0.310344828,0,0,0.731914894,0.310344828,0,0,0.731914894
4,0,0,0,0.329545455,0.367567568,0,0,0.731914894,0.367567568,0,0,0.731914894,0.367567568,0,0,0.731914894
5,0,0,0,0.329545455,0.367567568,0,0,0.731914894,0.367567568,0,0,0.731914894,0.367567568,0,0,0.731914894
6,0,0,0,0.329545455,0.451282051,0,0,0.731914894,0.451282051,0,0,0.731914894,0.451282051,0,0,0.731914894
7,0,0,0,0.329545455,0.504950495,0,0,0.731914894,0.504950495,0,0,0.731914894,0.504950495,0,0,0.731914894
8,0,0,0,0.290697674,0.575471698,0,0,0.731914894,0.575471698,0,0,0.731914894,0.575471698,0,0,0.731914894
9,0,0,0,0.329545455,0.575471698,0,0,0.731914894,0.575471698,0,0,0.731914894,0.575471698,0,0,0.731914894
10,0,0,0,0.329545455,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894
11,0,0,0,0.338983051,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894
12,0,0,0,0.329545455,0.518518519,0,0,0.731914894,0.518518519,0,0,0.731914894,0.518518519,0,0,0.731914894
13,0,0,0,0.310344828,0.518518519,0,0,0.731914894,0.518518519,0,0,0.731914894,0.518518519,0,0,0.731914894
14,0,0,0,0.329545455,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894
15,0,0,0,0.329545455,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894
