,Random_Knn_kappa,Random_Knn_F1,Random_Lightgbm_kappa,Random_Lightgbm_F1,Random_XGBoost_kappa,Random_XGBoost_F1,Random_Catboost_kappa,Random_Catboost_F1,Uncertainty_Knn_kappa,Uncertainty_Knn_F1,Uncertainty_Lightgbm_kappa,Uncertainty_Lightgbm_F1,Uncertainty_XGBoost_kappa,Uncertainty_XGBoost_F1,Uncertainty_Catboost_kappa,Uncertainty_Catboost_F1
0,-0.002953599252789818,0.0,0.0,0.0,-0.0032536769806823518,0.0,0.0,0.0,-0.002953599252789818,0.0,0.0,0.0,-0.0032536769806823518,0.0,0.0,0.0
1,-0.002944306044901257,0.0,0.0,0.0,-0.003227188624937094,0.0,0.0,0.0,-0.002953599252789818,0.0,0.0,0.0,-0.0032585479928695094,0.0,0.0,0.0
2,-0.002944306044901257,0.0,0.0,0.0,-0.002899498238700726,0.0,0.0,0.0,-0.002953599252789818,0.0,0.0,0.0,-0.0032315901496471344,0.0,0.0,0.0
3,-0.002944306044901257,0.0,0.0,0.0,-0.0032190919038048715,0.0,0.0,0.0,-0.002953599252789818,0.0,0.0,0.0,-0.0031655976529783025,0.0,-0.002939759976638756,0.0
4,-0.002944306044901257,0.0,0.0,0.0,-0.0032245900225189583,0.0,0.0,0.0,-0.003240919489937877,0.0,0.0,0.0,-0.0019262518096143655,0.0,-0.001684106703596866,0.0
5,-0.002944306044901257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030564700442721193,0.0,0.0,0.0,0.0,0.0,-0.0020896221135138227,0.0
6,-0.002944306044901257,0.0,0.0,0.0,-0.0032522029043215994,0.0,-0.003162501079525759,0.0,-0.0030564700442721193,0.0,0.0,0.0,0.0,0.0,-0.002932122289481809,0.0
7,-0.002944306044901257,0.0,0.0,0.0,0.0,0.0,-0.003177190918546069,0.0,-0.0027614516791145682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.002944306044901257,0.0,0.0,0.0,-0.0032483907108158405,0.0,-0.003173536442426572,0.0,-0.0027614516791145682,0.0,0.0,0.0,-0.0032232446900981593,0.0,0.0,0.0
9,-0.002944306044901257,0.0,0.0,0.0,-0.003189428541982009,0.0,-0.003164972495049101,0.0,-0.0027614516791145682,0.0,0.0,0.0,-0.0031561095851222465,0.0,0.0,0.0
10,-0.002944306044901257,0.0,0.0,0.0,-0.0032454292356676184,0.0,-0.003144123418629796,0.0,-0.0027614516791145682,0.0,0.0,0.0,-0.0031437348270551,0.0,-0.002605175772052659,0.0
11,-0.002944306044901257,0.0,0.0,0.0,-0.0032169329022635473,0.0,-0.003185000602702548,0.0,-0.0027614516791145682,0.0,0.0,0.0,-0.0030965429510751985,0.0,-0.0023886840695270806,0.0
12,-0.002944306044901257,0.0,0.0,0.0,-0.0030902968949897414,0.0,-0.0031724586073946792,0.0,-0.0027614516791145682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.002944306044901257,0.0,0.0,0.0,-0.0032254666856386116,0.0,-0.0030849183887258214,0.0,-0.002711219588700464,0.0,0.0,0.0,-0.0030547311197242077,0.0,0.0,0.0
14,-0.002944306044901257,0.0,0.0,0.0,-0.003259859133258658,0.0,-0.0031971907246648446,0.0,-0.002711219588700464,0.0,0.0,0.0,-0.0031344938652440035,0.0,0.0,0.0
15,-0.002944306044901257,0.0,0.0,0.0,-0.0023923052358398866,0.0,-0.0030910858755472947,0.0,-0.002711219588700464,0.0,0.0,0.0,-0.002747702570800703,0.0,0.0,0.0
16,-0.002944306044901257,0.0,0.0,0.0,-0.0028433177471431925,0.0,-0.00314721881694191,0.0,-0.002711219588700464,0.0,0.0,0.0,-0.0031011044652058395,0.0,0.0,0.0
17,-0.002944306044901257,0.0,0.0,0.0,-0.002379504021162049,0.0,-0.0031714008861085663,0.0,-0.002711219588700464,0.0,0.0,0.0,-0.0032296102989228803,0.0,0.0,0.0
18,-0.0029241573068372606,0.0,0.0,0.0,-0.0031274246704355857,0.0,-0.0031141291314895625,0.0,-0.002711219588700464,0.0,0.0,0.0,-0.0030520075943814007,0.0,0.0,0.0
19,-0.0029241573068372606,0.0,0.0,0.0,-0.0032491741519444783,0.0,-0.0031661349218632395,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.0031253742559664843,0.0,0.0,0.0
20,-0.0029241573068372606,0.0,0.0,0.0,-0.000884687272596052,0.0,-0.003143511924679876,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.003215363476390287,0.0,0.0,0.0
21,-0.0029241573068372606,0.0,0.0,0.0,-0.0032133468405628474,0.0,-0.003150196529676297,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.0032160549271156302,0.0,0.0,0.0
22,-0.0029241573068372606,0.0,0.0,0.0,-0.0032205027996730085,0.0,-0.003093322063417725,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.0030063037500689394,0.0,0.0,0.0
23,-0.0029241573068372606,0.0,0.0,0.0,-0.003218982595252662,0.0,-0.0031514167031132523,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.003268908012654226,0.0,0.0,0.0
24,-0.0029241573068372606,0.0,0.0,0.0,-0.003161055269842672,0.0,-0.0032126660825844144,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.0032285791297654853,0.0,0.0,0.0
25,-0.0029241573068372606,0.0,0.0,0.0,-0.003204376543999299,0.0,-0.0032113848723673843,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.0032286528567746497,0.0,0.0,0.0
26,-0.0029241573068372606,0.0,0.0,0.0,-0.0029098712845867514,0.0,-0.003171704825788879,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.003142614074602701,0.0,0.0,0.0
27,-0.0029241573068372606,0.0,0.0,0.0,-0.0028092020095868975,0.0,-0.00321179140058514,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.003140556679968265,0.0,0.0,0.0
28,-0.0029241573068372606,0.0,0.0,0.0,-0.003188222324769674,0.0,-0.0031813341101403214,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.003148956665828706,0.0,0.0,0.0
29,-0.0029241573068372606,0.0,0.0,0.0,-0.001749670658953928,0.0,-0.003155824761220005,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.003150605418692276,0.0,0.0,0.0
30,-0.002921954232653068,0.0,0.0,0.0,-0.003191136283038354,0.0,-0.0031543840094350184,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.0031458760823124265,0.0,0.0,0.0
31,-0.002921954232653068,0.0,0.0,0.0,-0.003142218095663507,0.0,-0.0031304787257235844,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.003259280143543375,0.0,0.0,0.0
32,-0.002921954232653068,0.0,0.0,0.0,-0.0032438149269007344,0.0,-0.0031382677582383334,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.003180646030778611,0.0,0.0,0.0
33,-0.002921954232653068,0.0,0.0,0.0,-0.0032517353902461466,0.0,0.0,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.003250553405936607,0.0,0.0,0.0
34,-0.002921954232653068,0.0,0.0,0.0,-0.003234495107368174,0.0,0.0,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.0032147817640275633,0.0,0.0,0.0
35,-0.002921954232653068,0.0,0.0,0.0,-0.0032053549044765983,0.0,0.0,0.0,-0.001304574592035479,0.0,0.0,0.0,-0.0030659238246755205,0.0,0.0,0.0
36,-0.002921954232653068,0.0,0.0,0.0,-0.003231419714077033,0.0,0.0,0.0,-0.002995138853663759,0.0,0.0,0.0,-0.0015010874679530772,0.001765704584040747,0.0,0.0
37,-0.002921954232653068,0.0,0.0,0.0,-0.0031074987434440704,0.0,0.0,0.0,-0.002995138853663759,0.0,0.0,0.0,-0.0032395220723684393,0.0,0.0,0.0
38,-0.0029203648911042546,0.0,0.0,0.0,-0.0032362359859265943,0.0,0.0,0.0,-0.002995138853663759,0.0,0.0,0.0,-0.003245003793535872,0.0,0.0,0.0
39,-0.0029203648911042546,0.0,0.0,0.0,-0.0032371659018184396,0.0,0.0,0.0,-0.002995138853663759,0.0,0.0,0.0,-0.003244572110568278,0.0,0.0,0.0
