,Kappa_100,F1_100,Kappa_50,F1_50,Kappa_200,F1_200,Kappa_500,F1_500
135,0.986052151,0.990135674,0.974653316,0.982084794,0.991103704,0.993706271,0.992424183,0.99464593
136,0.990126771,0.993023478,0.976490636,0.983377469,0.991149358,0.993738819,0.992378947,0.994613889
137,0.990744158,0.99345278,0.982833601,0.987829549,0.991195335,0.993771759,0.992378947,0.994613889
138,0.989530364,0.992596847,0.98401901,0.988673918,0.991195335,0.993771759,0.992378947,0.994613889
139,0.99008261,0.992992738,0.985279473,0.989563598,0.991150018,0.993739619,0.992424183,0.99464593
140,0.988774273,0.99206779,0.984835605,0.989253521,0.991195335,0.993771759,0.992378947,0.994613889
141,0.989224304,0.992385382,0.979272083,0.985335932,0.991195335,0.993771759,0.992423901,0.994645589
142,0.990257489,0.993113562,0.986142389,0.990176565,0.991286289,0.993836426,0.992423901,0.994645589
143,0.989721978,0.992737928,0.987689946,0.991277578,0.991286289,0.993836426,0.992378947,0.994613889
144,0.988861953,0.992128494,0.988190206,0.991633275,0.991331922,0.993868949,0.992378947,0.994613889
145,0.988813737,0.992092845,0.988872047,0.992117911,0.991422214,0.993932814,0.992378947,0.994613889
146,0.988138694,0.991616461,0.989371821,0.992473015,0.991422214,0.993932814,0.992378947,0.994613889
147,0.987241443,0.990984677,0.987962391,0.991471079,0.99146752,0.993964939,0.992378947,0.994613889
148,0.987062073,0.990858417,0.98941685,0.992504805,0.991512823,0.993997062,0.99233371,0.994581846
149,0.986789136,0.99066433,0.989871012,0.99282741,0.991512823,0.993997062,0.99233371,0.994581846
150,0.985806174,0.989974219,0.989871012,0.99282741,0.991422214,0.993932814,0.992378947,0.994613889
151,0.984282911,0.988902668,0.989507695,0.992569342,0.991422214,0.993932814,0.992378947,0.994613889
152,0.986702919,0.990605395,0.986929601,0.99074341,0.99146752,0.993964939,0.992378947,0.994613889
153,0.984058627,0.988744754,0.987795507,0.99136,0.991241956,0.993805479,0.992378947,0.994613889
154,0.986118753,0.990193581,0.989326395,0.992440743,0.991422214,0.993932814,0.992378947,0.994613889
155,0.986613267,0.990542305,0.989916042,0.992859201,0.991512823,0.993997062,0.992378947,0.994613889
156,0.984866955,0.989314337,0.989416059,0.992503844,0.991422214,0.993932814,0.992333995,0.994582191
157,0.984151048,0.988811189,0.989461487,0.992536118,0.991512823,0.993997062,0.992378947,0.994613889
158,0.982719225,0.987804878,0.9893252,0.99243929,0.991558125,0.994029184,0.992378947,0.994613889
159,0.982585189,0.987710775,0.989779811,0.992762442,0.991512823,0.993997062,0.992378947,0.994613889
160,0.982585836,0.987711555,0.986991096,0.990795193,0.991512823,0.993997062,0.992243518,0.994518103
161,0.985896294,0.990037875,0.987889977,0.991428937,0.991332568,0.993869732,0.992243518,0.994518103
162,0.985358844,0.98965989,0.989779811,0.992762442,0.991422214,0.993932814,0.99233371,0.994581846
163,0.985091872,0.989473015,0.989779811,0.992762442,0.991422214,0.993932814,0.99228847,0.994549801
164,0.985673393,0.989881634,0.989825223,0.992794697,0.99146752,0.993964939,0.99228847,0.994549801
165,0.986841815,0.990705373,0.989825223,0.992794697,0.99146752,0.993964939,0.99228847,0.994549801
166,0.984285832,0.988906195,0.989825223,0.992794697,0.991422214,0.993932814,0.99228847,0.994549801
167,0.988184014,0.991648604,0.989825223,0.992794697,0.991422214,0.993932814,0.99228847,0.994549801
168,0.988725624,0.992031619,0.989734398,0.992730184,0.991422214,0.993932814,0.992243518,0.994518103
169,0.984648324,0.98916325,0.989779811,0.992762442,0.991422214,0.993932814,0.99228847,0.994549801
170,0.986482825,0.990452549,0.989779811,0.992762442,0.991422214,0.993932814,0.992333424,0.994581501
171,0.986837409,0.990700045,0.989825223,0.992794697,0.991467838,0.993965325,0.99228847,0.994549801
172,0.98751473,0.991179187,0.989825223,0.992794697,0.991376907,0.993900687,0.99228847,0.994549801
173,0.986481317,0.990450726,0.989825223,0.992794697,0.99146752,0.993964939,0.992333424,0.994581501
174,0.985989019,0.99010468,0.989825223,0.992794697,0.991376907,0.993900687,0.992333424,0.994581501
175,0.985989019,0.99010468,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
176,0.987149364,0.99091865,0.989916042,0.992859201,0.99146752,0.993964939,0.99228847,0.994549801
177,0.987737131,0.99133482,0.989916042,0.992859201,0.99146752,0.993964939,0.99233371,0.994581846
178,0.988230647,0.991682335,0.989916042,0.992859201,0.99146752,0.993964939,0.99233371,0.994581846
179,0.98894926,0.992188745,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
180,0.988861953,0.992128494,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
181,0.9904347,0.993237208,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
182,0.990884196,0.993554152,0.989916042,0.992859201,0.991422214,0.993932814,0.99228847,0.994549801
183,0.991153315,0.993743616,0.989916042,0.992859201,0.991422214,0.993932814,0.99228847,0.994549801
184,0.990701261,0.993423573,0.989916042,0.992859201,0.991331599,0.993868557,0.99228847,0.994549801
185,0.988818316,0.992098388,0.989916042,0.992859201,0.991331599,0.993868557,0.99228847,0.994549801
186,0.988593516,0.991939852,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
187,0.982355276,0.987546067,0.989916042,0.992859201,0.991422214,0.993932814,0.992333424,0.994581501
188,0.981695398,0.987087973,0.989916042,0.992859201,0.991332245,0.99386934,0.99228847,0.994549801
189,0.988231961,0.991683925,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
190,0.988408863,0.991807198,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
191,0.988321268,0.991746598,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
192,0.98831692,0.991741335,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
193,0.986884194,0.99073396,0.989916042,0.992859201,0.991332568,0.993869732,0.992243518,0.994518103
194,0.984060997,0.988747616,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
195,0.985274768,0.989603535,0.989916042,0.992859201,0.991332245,0.99386934,0.99228847,0.994549801
196,0.986846707,0.990711286,0.989916042,0.992859201,0.99137755,0.993901466,0.992243518,0.994518103
197,0.989626802,0.992668154,0.989916042,0.992859201,0.991332245,0.99386934,0.992333424,0.994581501
198,0.985368637,0.98967172,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
199,0.988239839,0.991693453,0.989916042,0.992859201,0.99137755,0.993901466,0.99228847,0.994549801
200,0.989540883,0.992609582,0.989916042,0.992859201,0.991332245,0.99386934,0.99228847,0.994549801
