,Knn_light_kappa,Knn_light_F1,Knn_xgboost_kappa,Knn_xgboost_F1,Knn_catboost_kappa,Knn_catboost_F1,light_xgboost_kappa,light_xgboost_F1,light_catboost_kappa,light_catboost_F1,xgboost_catboost_kappa,xgboost_catboost_F1,lg_xg_cb_kappa,lg_xg_cb_F1,Knn_xg_cb_kappa,Knn_xg_cb_F1,Knn_lg_cb_kappa,Knn_lg_cb_F1,Knn_lg_xg_kappa,Knn_lg_xg_F1,Knn_lg_xg_cb_Kappa,Knn_lg_xg_cb_F1
175,0.9483882452250773,0.9634213421342134,0.9455337610997312,0.9613938560293442,0.945814833357632,0.9615384615384616,0.9909770981817108,0.9936212866776016,0.992976334213529,0.9950352994762012,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.9887030427681064,0.9920043861653036,0.9905823863283044,0.9933382004015332,0.9871482673341506,0.9909011933610716,0.9916858193160641,0.9941222034902265
176,0.9497746033160236,0.9644181893117189,0.9455337610997312,0.9613938560293442,0.947870109836542,0.9630208094078736,0.9908462517180812,0.993527803099362,0.992976334213529,0.9950352994762012,0.9928466986624522,0.994943282766161,0.9914243654730368,0.9939355250558568,0.9885733258145052,0.991912268677176,0.9905823863283044,0.9933382004015332,0.9870833414837829,0.9908550525834476,0.9916858193160641,0.9941222034902265
177,0.9507639084237928,0.9651290499725426,0.94723945484966,0.9625820669390752,0.9492584990656624,0.9640201927489672,0.9908462517180812,0.993527803099362,0.992976334213529,0.9950352994762012,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.9883781051049412,0.9917733089579523,0.9909679688455656,0.9936102236421726,0.9872753955153454,0.9909901669334552,0.9916858193160641,0.9941222034902265
178,0.951554782837023,0.9656970362239296,0.9475040126577876,0.9627725499196694,0.9502492523988104,0.9647328594359093,0.9903326051946902,0.9931656642974304,0.992976334213529,0.9950352994762012,0.9928466986624522,0.994943282766161,0.9914243654730368,0.9939355250558568,0.9890272746803852,0.992234606248858,0.9909679688455656,0.9936102236421726,0.9872753955153454,0.9909901669334552,0.9916858193160641,0.9941222034902265
179,0.9521476066565516,0.966122616924976,0.9481651598748396,0.9632484514796972,0.9510412838426876,0.9653022872072238,0.990140044102299,0.993029930299303,0.992976334213529,0.9950352994762012,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.9894156751611256,0.9925100474972596,0.990580380178519,0.9933357677560708,0.9883880068824856,0.9917853231106244,0.9916858193160641,0.9941222034902265
180,0.9522134584145024,0.9661698820517508,0.9415760413712696,0.9584832549128148,0.951634974532503,0.9657289471272794,0.990268414749324,0.9931204155086792,0.992976334213529,0.9950352994762012,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.9894156751611256,0.9925100474972596,0.990386058357156,0.9931979000228258,0.9863119904569304,0.9903107861060328,0.9917500508804258,0.9941675020504875
181,0.9512912142621092,0.9655077767612076,0.9430377571330296,0.9595391705069124,0.951700922561654,0.96577633206579,0.9908462517180812,0.993527803099362,0.992976334213529,0.9950352994762012,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.989545309238523,0.9926020641154444,0.9907751621882628,0.9934741934011774,0.986376193499342,0.9903560491795784,0.9916211454254324,0.9940763692700264
182,0.951818295206422,0.9658862264496068,0.9450974646865744,0.961027009616712,0.9507773297438068,0.9651125475633796,0.9908462517180812,0.993527803099362,0.992976334213529,0.9950352994762012,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.9898693340166308,0.9928320321417156,0.9906446490116864,0.9933811110603916,0.986376193499342,0.9903560491795784,0.991942766078412,0.9943034225037599
183,0.9520843055994066,0.9660784493005394,0.9464887470903822,0.9620299714994944,0.9513051815832336,0.9654919572888502,0.990268414749324,0.9931204155086792,0.992976334213529,0.9950352994762012,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.989545309238523,0.9926020641154444,0.9901948390437536,0.9930637948343524,0.986376193499342,0.9903560491795784,0.9921363488879515,0.9944403937294933
184,0.951554782837023,0.9656970362239296,0.9474815640713484,0.9627451881115348,0.9515716077626224,0.9656847024327668,0.9903326051946902,0.9931656642974304,0.992976334213529,0.9950352994762012,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.9897386413145668,0.9927387313330592,0.9906446490116864,0.9933811110603916,0.986376193499342,0.9903560491795784,0.9921363488879515,0.9944403937294933
185,0.951818295206422,0.9658862264496068,0.9482752446931022,0.9633166521280014,0.951703500163686,0.9657794676806084,0.9904635330986926,0.9932592457642556,0.992976334213529,0.9950352994762012,0.9928466986624522,0.994943282766161,0.9914243654730368,0.9939355250558568,0.9898687944048196,0.9928313775626684,0.9901948390437536,0.9930637948343524,0.986376193499342,0.9903560491795784,0.9921363488879515,0.9944403937294933
186,0.9519500303196716,0.9659807956104252,0.9488701712523894,0.9637448370812298,0.9520837523430836,0.9660449983961876,0.990268414749324,0.9931204155086792,0.992976334213529,0.9950352994762012,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.9896738294254884,0.9926927292656194,0.9907751621882628,0.9934741934011774,0.986376193499342,0.9903560491795784,0.9921363488879515,0.9944403937294933
187,0.952068976246906,0.9660598298417344,0.9489362565467646,0.9637923913542288,0.9523500396527932,0.966237573869623,0.990268414749324,0.9931204155086792,0.992976334213529,0.9950352994762012,0.9928466986624522,0.994943282766161,0.9914243654730368,0.9939355250558568,0.9900626489780778,0.9929686786594832,0.9904503271499696,0.9932432432432432,0.986376193499342,0.9903560491795784,0.9921363488879515,0.9944403937294933
188,0.9524489523024812,0.9663250366032212,0.9480107410400128,0.9631262341001976,0.9524108840319816,0.9662787501145422,0.990268414749324,0.9931204155086792,0.9929117084042548,0.9949895235492392,0.9929113313572108,0.9949890670553936,0.9914243654730368,0.9939355250558568,0.9899983870864826,0.992923343834178,0.9909679688455656,0.9936102236421726,0.9881280660642692,0.9916004747557746,0.9921363488879515,0.9944403937294933
