,Auto_Cat,IF_Cat,One_Cat,Random_F1,Random_Kappa
0,0.328899513,0.328899513,0.328899513,0.329545455,0.32889951290200625
1,0.270011315,0.328899513,0.328899513,0.329545455,0.3383279454446778
2,0.270011315,0.328899513,0.319363856,0.338983051,0.3383279454446778
3,0.410103014,0.299963469,0.309719135,0.329545455,0.32889951290200625
4,0.290094931,0.319363856,0.328899513,0.329545455,0.32889951290200625
5,0.290094931,0.328899513,0.328899513,0.329545455,0.32889951290200625
6,0.435451015,0.328899513,0.328899513,0.329545455,0.3193638560657528
7,0.290094931,0.328899513,0.328899513,0.329545455,0.3383279454446778
8,0.290094931,0.299963469,0.328899513,0.329545455,0.3383279454446778
9,0.418642781,0.626023412,0.328899513,0.329545455,0.3383279454446778
10,0.435451015,0.692343993,0.328899513,0.329545455,0.3383279454446778
11,0.427091633,0.692343993,0.328899513,0.329545455,0.3383279454446778
12,0.427091633,0.709339299,0.328899513,0.329545455,0.3383279454446778
13,0.401470858,0.709339299,0.328899513,0.329545455,0.3383279454446778
14,0.410103014,0.686579443,0.319363856,0.329545455,0.3193638560657528
15,0.427091633,0.650900887,0.328899513,0.329545455,0.32889951290200625
16,0.435451015,0.638575299,0.309719135,0.329545455,0.2900949313305763
17,0.435451015,0.638575299,0.309719135,0.329545455,0.32889951290200625
18,0.435451015,0.638575299,0.328899513,0.329545455,0.32889951290200625
19,0.435451015,0.626023412,0.328899513,0.338983051,0.32889951290200625
20,0.410103014,0.650900887,0.328899513,0.338983051,0.32889951290200625
21,0.410103014,0.593611777,0.328899513,0.338983051,0.32889951290200625
22,0.427091633,0.593611777,0.328899513,0.338983051,0.32889951290200625
23,0.401470858,0.593611777,0.328899513,0.338983051,0.3193638560657528
24,0.427091633,0.626023412,0.309719135,0.338983051,0.32889951290200625
25,0.410103014,0.593611777,0.299963469,0.338983051,0.32889951290200625
26,0.410103014,0.626023412,0.328899513,0.338983051,0.3193638560657528
27,0.401470858,0.593611777,0.328899513,0.338983051,0.2900949313305763
28,0.410103014,0.626023412,0.319363856,0.338983051,0.2494519642297922
29,0.422530811,0.580216739,0.328899513,0.338983051,0.2900949313305763
30,0.427091633,0.58694587,0.328899513,0.338983051,0.2900949313305763
31,0.410103014,0.580216739,0.328899513,0.338983051,0.32889951290200625
32,0.427091633,0.58694587,0.328899513,0.338983051,0.3193638560657528
33,0.401470858,0.580216739,0.319363856,0.338983051,0.30971913537281404
34,0.471034275,0.573423478,0.328899513,0.348314607,0.32889951290200625
35,0.435451015,0.580216739,0.328899513,0.348314607,0.2801115523060167
36,0.430826493,0.580216739,0.328899513,0.338983051,0.30971913537281404
37,0.422530811,0.58694587,0.319363856,0.329545455,0.2900949313305763
38,0.471034275,0.580216739,0.319363856,0.329545455,0.2494519642297922
39,0.471034275,0.58694587,0.328899513,0.329545455,0.2700113154960069
40,0.401470858,0.580216739,0.328899513,0.329545455,0.2900949313305763
41,0.401470858,0.580216739,0.319363856,0.32,0.29996346893813697
42,0.401470858,0.580216739,0.319363856,0.338983051,0.30971913537281404
43,0.401470858,0.580216739,0.319363856,0.338983051,0.2900949313305763
44,0.401470858,0.531264368,0.328899513,0.338983051,0.2900949313305763
45,0.443722341,0.580216739,0.319363856,0.338983051,0.2900949313305763
46,0.410103014,0.580216739,0.328899513,0.32,0.2389885739526123
47,0.401470858,0.580216739,0.319363856,0.338983051,0.2389885739526123
48,0.410103014,0.580216739,0.338327945,0.329545455,0.2597921570500732
49,0.401470858,0.606757448,0.319363856,0.329545455,0.2389885739526123
50,0.455200045,0.566565168,0.319363856,0.290697674,0.2700113154960069
51,0.401470858,0.552649625,0.328899513,0.329545455,0.2494519642297922
52,0.427091633,0.559640869,0.328899513,0.338983051,0.2700113154960069
53,0.41414728,0.552649625,0.328899513,0.329545455,0.2494519642297922
54,0.478830741,0.559640869,0.328899513,0.329545455,0.2597921570500732
55,0.447159779,0.552649625,0.328899513,0.338983051,0.2389885739526123
56,0.410103014,0.552649625,0.328899513,0.338983051,0.2389885739526123
57,0.410103014,0.552649625,0.328899513,0.329545455,0.2700113154960069
58,0.427091633,0.538462379,0.328899513,0.338983051,0.2700113154960069
59,0.410103014,0.552649625,0.328899513,0.338983051,0.2900949313305763
60,0.443722341,0.552649625,0.319363856,0.32,0.2900949313305763
61,0.427091633,0.509240312,0.319363856,0.310344828,0.2700113154960069
62,0.451906994,0.5166544,0.338327945,0.310344828,0.2700113154960069
63,0.443722341,0.455200045,0.328899513,0.329545455,0.2700113154960069
64,0.401470858,0.54559046,0.290094931,0.338983051,0.2700113154960069
65,0.418642781,0.455200045,0.319363856,0.329545455,0.2801115523060167
66,0.410103014,0.494188443,0.290094931,0.329545455,0.2494519642297922
67,0.401470858,0.559640869,0.328899513,0.32,0.2900949313305763
68,0.410103014,0.559640869,0.299963469,0.338983051,0.2900949313305763
69,0.418642781,0.559640869,0.290094931,0.329545455,0.2900949313305763
70,0.401470858,0.552649625,0.309719135,0.329545455,0.2900949313305763
71,0.410103014,0.566565168,0.290094931,0.329545455,0.2801115523060167
72,0.435451015,0.552649625,0.319363856,0.338983051,0.2900949313305763
73,0.435451015,0.559640869,0.309719135,0.329545455,0.2700113154960069
74,0.435451015,0.54559046,0.328899513,0.329545455,0.2900949313305763
75,0.418642781,0.54559046,0.328899513,0.329545455,0.2700113154960069
76,0.435451015,0.54559046,0.238988574,0.338983051,0.2900949313305763
77,0.435451015,0.54559046,0.299963469,0.329545455,0.2801115523060167
78,0.435451015,0.559640869,0.299963469,0.329545455,0.2700113154960069
79,0.418642781,0.559640869,0.238988574,0.338983051,0.2900949313305763
80,0.491576633,0.566565168,0.270011315,0.329545455,0.2389885739526123
81,0.435451015,0.54559046,0.238988574,0.338983051,0.2389885739526123
82,0.427091633,0.54559046,0.280111552,0.329545455,0.2597921570500732
83,0.443722341,0.54559046,0.280111552,0.329545455,0.2900949313305763
84,0.410103014,0.54559046,0.319363856,0.329545455,0.2597921570500732
85,0.475954329,0.566565168,0.290094931,0.348314607,0.2801115523060167
86,0.443722341,0.559640869,0.328899513,0.338983051,0.2900949313305763
87,0.468021674,0.559640869,0.328899513,0.338983051,0.2700113154960069
88,0.451906994,0.478830741,0.290094931,0.338983051,0.2900949313305763
89,0.451906994,0.494188443,0.328899513,0.300578035,0.2700113154960069
90,0.418642781,0.478830741,0.328899513,0.290697674,0.2597921570500732
91,0.443722341,0.523995393,0.259792157,0.290697674,0.2900949313305763
92,0.443722341,0.54559046,0.290094931,0.290697674,0.2801115523060167
93,0.435451015,0.471034275,0.259792157,0.290697674,0.2900949313305763
94,0.401470858,0.501752033,0.299963469,0.310344828,0.2700113154960069
95,0.514420906,0.439035701,0.280111552,0.290697674,0.2900949313305763
96,0.54559046,0.538462379,0.319363856,0.280701754,0.2900949313305763
97,0.54559046,0.538462379,0.280111552,0.280701754,0.2801115523060167
98,0.410103014,0.5166544,0.319363856,0.290697674,0.29996346893813697
99,0.418642781,0.447159779,0.280111552,0.290697674,0.2597921570500732
100,0.418642781,0.538462379,0.270011315,0.32,0.2900949313305763
101,0.451906994,0.463157789,0.309719135,0.290697674,0.2900949313305763
102,0.506883118,0.439035701,0.328899513,0.290697674,0.2900949313305763
103,0.443722341,0.455200045,0.328899513,0.25,0.2900949313305763
104,0.463157789,0.538462379,0.299963469,0.290697674,0.2900949313305763
105,0.486548401,0.552649625,0.280111552,0.290697674,0.29996346893813697
106,0.443722341,0.559640869,0.290094931,0.310344828,0.2900949313305763
107,0.451906994,0.54559046,0.299963469,0.290697674,0.2900949313305763
