,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost,Knn_gradient,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb,Knn_light,Knn_catboost
0,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.350508761,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.0041542745459727
1,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.95408222,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.0041542745459727
2,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.928972066,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.0041542745459727
3,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.895467461,0.004154275,0.004154275,-0.006098914,0.006657264,-0.006098914,0.0041542745459727
4,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.865078994,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.0041542745459727
5,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.033646546,0.004154275,0.004154275,-0.006098914,0.007224806,-0.006098914,0.0041542745459727
6,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.0041542745459727
7,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.0041542745459727
8,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.0041542745459727
9,-0.002727373,0,0,0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.002727373,0,0,0.0,-0.006098914,0,0,0,0.0,0.004154275,0.004154275,-0.006098914,0.004154275,-0.006098914,0.0041542745459727
