,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb
0,0.800580277,0.0,0.0,0.952691575,0.800580277,0.0,0.0,0.952691575,0.800580277,0.0,0.0,0.952691575,0.800580277,0.0,0.0,0.952691575,0.800580277,0.800580277,0.800580277,0.0,0.951683363,0.951683363,0.712377049,0.833860029,0.833860029,0.800580277,0.903735196
1,0.800580277,0.0,0.0,0.944371413,0.800580277,0.0,0.0,0.964079313,0.800580277,0.0,0.0,0.964079313,0.800580277,0.0,0.0,0.964079313,0.800580277,0.800580277,0.803714876,0.0,0.952446589,0.952446589,0.803716255,0.83354024,0.83354024,0.800580277,0.90590443
2,0.800634299,0.0,0.0,0.940035884,0.800580277,0.0,0.0,0.965091746,0.800580277,0.0,0.0,0.965091746,0.800580277,0.0,0.0,0.965091746,0.800121384,0.800121384,0.822943637,0.0,0.953937885,0.953937885,0.875080535,0.833681971,0.833681971,0.800121384,0.901869315
3,0.800634299,0.0,0.0,0.938200651,0.800904977,0.0,0.0,0.963803523,0.800904977,0.0,0.0,0.963803523,0.800904977,0.0,0.0,0.963803523,0.803374563,0.803374563,0.829263585,0.0,0.954506775,0.954506775,0.898275379,0.836954602,0.836954602,0.803374563,0.944153634
4,0.80051289,0.0,0.0,0.939531057,0.800904977,0.0,0.0,0.971223022,0.800904977,0.0,0.0,0.971223022,0.800904977,0.0,0.0,0.971223022,0.806510434,0.806510434,0.828341902,0.0,0.953483808,0.953483808,0.914634989,0.837039918,0.837039918,0.806510434,0.911420426
5,0.797904548,0.0,0.0,0.940633787,0.798535036,0.0,0.0,0.971208474,0.798535036,0.0,0.0,0.971208474,0.798535036,0.0,0.0,0.971208474,0.806510434,0.806510434,0.827841204,0.0,0.954350881,0.954350881,0.92956883,0.857598116,0.857598116,0.806510434,0.948450941
6,0.797904548,0.0,0.0,0.943070876,0.798535036,0.0,0.0,0.971802778,0.798535036,0.0,0.0,0.971802778,0.798535036,0.0,0.0,0.971802778,0.806510434,0.806510434,0.811993414,0.0,0.953902447,0.953902447,0.932678964,0.859695726,0.859695726,0.806510434,0.951612387
7,0.801090836,0.0,0.0,0.943287,0.798535036,0.0,0.0,0.973825971,0.798535036,0.0,0.0,0.973825971,0.798535036,0.0,0.0,0.973825971,0.806510434,0.806510434,0.826049092,0.0,0.960643361,0.960643361,0.933640928,0.859824695,0.859824695,0.806510434,0.951512613
8,0.80137742,0.0,0.0,0.942604716,0.798535036,0.0,0.0,0.973047772,0.798535036,0.0,0.0,0.973047772,0.798535036,0.0,0.0,0.973047772,0.805769624,0.805769624,0.829148203,0.0,0.957043609,0.957043609,0.945136069,0.873894552,0.873894552,0.805769624,0.95730584
9,0.80137742,0.0,0.0,0.944998248,0.798535036,0.0,0.0,0.986096052,0.798535036,0.0,0.0,0.986096052,0.798535036,0.0,0.0,0.986096052,0.806461507,0.806461507,0.836588945,0.0,0.971388202,0.971388202,0.963468513,0.874830761,0.874830761,0.806461507,0.961513583
10,0.80137742,0.0,0.0,0.946404645,0.7980953,0.0,0.0,0.986780765,0.7980953,0.0,0.0,0.986780765,0.7980953,0.0,0.0,0.986780765,0.806461507,0.806461507,0.831107465,0.0,0.970293853,0.970293853,0.966134017,0.877368031,0.877368031,0.806461507,0.973578403
11,0.80137742,0.0,0.0,0.942045599,0.7980953,0.0,0.0,0.986864393,0.7980953,0.0,0.0,0.986864393,0.7980953,0.0,0.0,0.986864393,0.806461507,0.806461507,0.824551551,0.0,0.973226928,0.973226928,0.966439865,0.876637591,0.876637591,0.806461507,0.975653339
12,0.80137742,0.0,0.0,0.946796684,0.7980953,0.0,0.0,0.988279118,0.7980953,0.0,0.0,0.988279118,0.7980953,0.0,0.0,0.988279118,0.812612307,0.812612307,0.829754349,0.0,0.971182575,0.971182575,0.968406548,0.876312954,0.876312954,0.812612307,0.977450763
13,0.814689938,0.0,0.0,0.941917115,0.7980953,0.0,0.0,0.991571863,0.7980953,0.0,0.0,0.991571863,0.7980953,0.0,0.0,0.991571863,0.81572548,0.81572548,0.83262416,0.0,0.969640624,0.969640624,0.970095968,0.874549779,0.874549779,0.81572548,0.97284184
14,0.814689938,0.0,0.0,0.94216814,0.801227192,0.0,0.0,0.992542807,0.801227192,0.0,0.0,0.992542807,0.801227192,0.0,0.0,0.992542807,0.818449198,0.818449198,0.836427709,0.0,0.968456784,0.968456784,0.970242577,0.874651811,0.874651811,0.818449198,0.974981767
15,0.807524572,0.0,0.0,0.94619831,0.804230058,0.0,0.0,0.992774936,0.804230058,0.0,0.0,0.992774936,0.804230058,0.0,0.0,0.992774936,0.820010072,0.820010072,0.839179954,0.0,0.968264643,0.968264643,0.971930856,0.874503278,0.874503278,0.820010072,0.978585293
16,0.807524572,0.0,0.0,0.942301582,0.802330122,0.0,0.0,0.993231594,0.802330122,0.0,0.0,0.993231594,0.802330122,0.0,0.0,0.993231594,0.820247726,0.820247726,0.840183839,0.0,0.965721946,0.965721946,0.972807103,0.874460932,0.874460932,0.820247726,0.978251192
17,0.807563381,0.0,0.0,0.949401731,0.802330122,0.0,0.0,0.993006546,0.802330122,0.0,0.0,0.993006546,0.802330122,0.0,0.0,0.993006546,0.820247726,0.820247726,0.839192857,0.0,0.969018051,0.969018051,0.974377363,0.880002702,0.880002702,0.820247726,0.983757514
18,0.810888627,0.0,0.0,0.93970802,0.805285028,0.0,0.0,0.992975286,0.805285028,0.0,0.0,0.992975286,0.805285028,0.0,0.0,0.992975286,0.821865469,0.821865469,0.840875529,0.0,0.962637922,0.962637922,0.975579578,0.883174582,0.883174582,0.821865469,0.984071136
19,0.810888627,0.0,0.0,0.939645345,0.805285028,0.0,0.0,0.992973042,0.805285028,0.0,0.0,0.992973042,0.805285028,0.0,0.0,0.992973042,0.821865469,0.821865469,0.842835993,0.0,0.963146367,0.963146367,0.974723847,0.88871054,0.88871054,0.821865469,0.990477412
20,0.810888627,0.0,0.0,0.941903193,0.805285028,0.0,0.0,0.993135158,0.805285028,0.0,0.0,0.993135158,0.805285028,0.0,0.0,0.993135158,0.821865469,0.821865469,0.837419229,0.0,0.961205393,0.961205393,0.972965947,0.888011246,0.888011246,0.821865469,0.988418224
21,0.810888627,0.0,0.0,0.939328689,0.812002141,0.0,0.0,0.993135158,0.812002141,0.0,0.0,0.993135158,0.812002141,0.0,0.0,0.993135158,0.821904953,0.821904953,0.836004203,0.0,0.972110787,0.972110787,0.974754878,0.882948562,0.882948562,0.821904953,0.988239806
22,0.810888627,0.0,0.0,0.943116241,0.825978191,0.0,0.0,0.992975286,0.825978191,0.0,0.0,0.992975286,0.825978191,0.0,0.0,0.992975286,0.821904953,0.821904953,0.837681159,0.0,0.976316128,0.976316128,0.974883539,0.88314493,0.88314493,0.821904953,0.988132937
23,0.806994902,0.0,0.0,0.939556962,0.825978191,0.0,0.0,0.993103008,0.825978191,0.0,0.0,0.993103008,0.825978191,0.0,0.0,0.993103008,0.817667654,0.817667654,0.847150433,0.0,0.974795312,0.974795312,0.975682802,0.88314493,0.88314493,0.817667654,0.991089172
24,0.804319182,0.0,0.0,0.940818461,0.825978191,0.0,0.0,0.993166432,0.825978191,0.0,0.0,0.993166432,0.825978191,0.0,0.0,0.993166432,0.817667654,0.817667654,0.849973053,0.0,0.974382022,0.974382022,0.976490099,0.884819926,0.884819926,0.817667654,0.988156425
25,0.804319182,0.0,0.0,0.941995947,0.825063267,0.0,0.0,0.989123809,0.825063267,0.0,0.0,0.989123809,0.825063267,0.0,0.0,0.989123809,0.81786664,0.81786664,0.857343499,0.0,0.97353479,0.97353479,0.977059606,0.88493907,0.88493907,0.81786664,0.986687002
26,0.804319182,0.0,0.0,0.940590289,0.825063267,0.0,0.0,0.993290306,0.825063267,0.0,0.0,0.993290306,0.825063267,0.0,0.0,0.993290306,0.81786664,0.81786664,0.852821715,0.0,0.971472334,0.971472334,0.973415265,0.879382177,0.879382177,0.81786664,0.985934318
27,0.804227026,0.0,0.0,0.941511224,0.825089698,0.0,0.0,0.993354633,0.825089698,0.0,0.0,0.993354633,0.825089698,0.0,0.0,0.993354633,0.818917739,0.818917739,0.857200027,0.0,0.969217519,0.969217519,0.972325379,0.879173722,0.879173722,0.818917739,0.985273068
28,0.815782614,0.0,0.0,0.941492896,0.825089698,0.0,0.0,0.993451107,0.825089698,0.0,0.0,0.993451107,0.825089698,0.0,0.0,0.993451107,0.82075851,0.82075851,0.859026437,0.0,0.96785487,0.96785487,0.971614735,0.879203495,0.879203495,0.82075851,0.98488217
29,0.82127157,0.0,0.0,0.941658524,0.825089698,0.0,0.0,0.993451107,0.825089698,0.0,0.0,0.993451107,0.825089698,0.0,0.0,0.993451107,0.832880164,0.832880164,0.862661799,0.0,0.967554819,0.967554819,0.971969843,0.879173722,0.879173722,0.832880164,0.987962522
30,0.82127157,0.0,0.0,0.941228374,0.825089698,0.0,0.0,0.993229433,0.825089698,0.0,0.0,0.993229433,0.825089698,0.0,0.0,0.993229433,0.839611498,0.839611498,0.868283373,0.0,0.967380937,0.967380937,0.972221328,0.877024309,0.877024309,0.839611498,0.989479038
31,0.82127157,0.0,0.0,0.94113198,0.825089698,0.0,0.0,0.993483261,0.825089698,0.0,0.0,0.993483261,0.825089698,0.0,0.0,0.993483261,0.823299603,0.823299603,0.872103227,0.0,0.968201475,0.968201475,0.973223183,0.881945858,0.881945858,0.823299603,0.988705418
32,0.82127157,0.0,0.0,0.940326752,0.825089698,0.0,0.0,0.993451107,0.825089698,0.0,0.0,0.993451107,0.825089698,0.0,0.0,0.993451107,0.837732894,0.837732894,0.872701187,0.0,0.968299895,0.968299895,0.972728149,0.881288136,0.881288136,0.837732894,0.992972144
33,0.82127157,0.0,0.0,0.943558593,0.824560269,0.0,0.0,0.993451107,0.824560269,0.0,0.0,0.993451107,0.824560269,0.0,0.0,0.993451107,0.837732894,0.837732894,0.880521791,0.0,0.966542751,0.966542751,0.973030313,0.881955984,0.881955984,0.837732894,0.993034254
34,0.818163765,0.0,0.0,0.940533367,0.824560269,0.0,0.0,0.993483261,0.824560269,0.0,0.0,0.993483261,0.824560269,0.0,0.0,0.993483261,0.837732894,0.837732894,0.880974325,0.0,0.96260677,0.96260677,0.97062776,0.881716785,0.881716785,0.837732894,0.993101686
35,0.817579771,0.0,0.0,0.939117777,0.824560269,0.0,0.0,0.993515413,0.824560269,0.0,0.0,0.993515413,0.824560269,0.0,0.0,0.993515413,0.840036444,0.840036444,0.88878001,0.0,0.964892842,0.964892842,0.967376067,0.881862546,0.881862546,0.840036444,0.993393547
36,0.817579771,0.0,0.0,0.941451251,0.824560269,0.0,0.0,0.993515413,0.824560269,0.0,0.0,0.993515413,0.824560269,0.0,0.0,0.993515413,0.840036444,0.840036444,0.886490388,0.0,0.964946755,0.964946755,0.966235586,0.883376702,0.883376702,0.840036444,0.993363538
37,0.817579771,0.0,0.0,0.954502844,0.824560269,0.0,0.0,0.993515413,0.824560269,0.0,0.0,0.993515413,0.824560269,0.0,0.0,0.993515413,0.840036444,0.840036444,0.887667335,0.0,0.965421064,0.965421064,0.970530829,0.883736627,0.883736627,0.840036444,0.993333546
