,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,Knn_gb_cb,Knn_lg_cb,lg_gb_cb,Knn_lg_gb,Knn_lg_gb_cb
116,0.783102202,0.0,0.0,0.960513022,0.798448124,0.0,0.0,0.992919824,0.798448124,0.0,0.0,0.992919824,0.798448124,0.0,0.0,0.992919824,0.8342762287009122,0.8342762287009122,0.8958039575676284,0.0,0.9864743083151212,0.9813903175977012,0.8497920246890254,0.9242103765921318,0.9813903175977012,0.9812873105828716,0.7765259284372181
117,0.783102202,0.0,0.0,0.967611092,0.798448124,0.0,0.0,0.992919824,0.798448124,0.0,0.0,0.992919824,0.798448124,0.0,0.0,0.992919824,0.8304765974966071,0.8304765974966071,0.8972050259242008,0.0,0.9824413821972298,0.9813847786525052,0.8497920246890254,0.9264522058052288,0.9813847786525052,0.9812873105828716,0.7776176884268317
118,0.785615358,0.0,0.0,0.964654217,0.798448124,0.0,0.0,0.99287486,0.798448124,0.0,0.0,0.99287486,0.798448124,0.0,0.0,0.99287486,0.8304765974966071,0.8304765974966071,0.8987373926984592,0.0,0.9844174317561792,0.9814308881157824,0.8498345409115252,0.9260617038383916,0.9814308881157824,0.9815155847306218,0.7765259284372181
119,0.785615358,0.0,0.0,0.963313974,0.798448124,0.0,0.0,0.99287486,0.798448124,0.0,0.0,0.99287486,0.798448124,0.0,0.0,0.99287486,0.8329503972973841,0.8329503972973841,0.8980711849881842,0.0,0.9861486022561092,0.9820111182049348,0.8561248419538643,0.92946602269186,0.982011787625801,0.9815155847306218,0.7781869448230048
120,0.785615358,0.0,0.0,0.963296136,0.798448124,0.0,0.0,0.99282963,0.798448124,0.0,0.0,0.99282963,0.798448124,0.0,0.0,0.99282963,0.8329503972973841,0.8329503972973841,0.8988236034502216,0.0,0.9824341644766704,0.9810759550335434,0.8561248419538643,0.9292269937359222,0.9526210420057633,0.9815155847306218,0.7765259284372181
121,0.785615358,0.0,0.0,0.966974779,0.798448124,0.0,0.0,0.99287486,0.798448124,0.0,0.0,0.99287486,0.798448124,0.0,0.0,0.99287486,0.8331368950078467,0.8331368950078467,0.898658878045784,0.0,0.9862596699573516,0.9796015835008196,0.8568910160996881,0.9277129408126978,0.9156682363892276,0.9815155847306218,0.77700071740151
122,0.785615358,0.0,0.0,0.963428657,0.793991572,0.0,0.0,0.992919824,0.793991572,0.0,0.0,0.992919824,0.793991572,0.0,0.0,0.992919824,0.8331368950078467,0.8331368950078467,0.9015972465774108,0.0,0.9876977589619512,0.979103539278576,0.8568910160996881,0.9289674622005812,0.6676240214031439,0.9815155847306218,0.7747996991398045
123,0.787828879,0.0,0.0,0.96347694,0.793991572,0.0,0.0,0.992919824,0.793991572,0.0,0.0,0.992919824,0.793991572,0.0,0.0,0.992919824,0.8331368950078467,0.8331368950078467,0.903502510534992,0.0,0.9868792315064694,0.9715923373353048,0.8568910160996881,0.927916624997374,0.7133708659938993,0.9834351176282584,0.7754843415146742
124,0.787828879,0.0,0.0,0.959929853,0.793991572,0.0,0.0,0.99287486,0.793991572,0.0,0.0,0.99287486,0.793991572,0.0,0.0,0.99287486,0.8331368950078467,0.8331368950078467,0.881766007988271,0.0,0.9875613759193286,0.9799104438345628,0.8568910160996881,0.9283974680307824,0.7623169526664322,0.9857430726349876,0.7748645824562997
125,0.788117552,0.0,0.0,0.96086026,0.793991572,0.0,0.0,0.992919824,0.793991572,0.0,0.0,0.992919824,0.793991572,0.0,0.0,0.992919824,0.8340675314675773,0.8340675314675773,0.8912174872763763,0.0,0.987788672504656,0.9767806837495532,0.8568910160996881,0.9272224121607712,0.7469837394490537,0.9857436052397708,0.7791583515938667
126,0.78480676,0.0,0.0,0.962711943,0.793991572,0.0,0.0,0.992919824,0.793991572,0.0,0.0,0.992919824,0.793991572,0.0,0.0,0.992919824,0.8340675314675773,0.8340675314675773,0.8962594477766568,0.0,0.9878795792596796,0.9728297933102572,0.8568910160996881,0.9288818833058172,0.7166901011505372,0.988473749173252,0.7771960800508309
127,0.78480676,0.0,0.0,0.962735665,0.793991572,0.0,0.0,0.992376961,0.793991572,0.0,0.0,0.992376961,0.793991572,0.0,0.0,0.992376961,0.8341654542945779,0.8341654542945779,0.8975815078325227,0.0,0.9881072603756486,0.9812114761707624,0.8542146416589489,0.9333872673294162,0.7663915234635119,0.98797137726132,0.7807544357541807
128,0.78480676,0.0,0.0,0.965721264,0.796833559,0.0,0.0,0.991606553,0.796833559,0.0,0.0,0.991606553,0.796833559,0.0,0.0,0.991606553,0.8341654542945779,0.8341654542945779,0.9005040088481159,0.0,0.9880163739957106,0.981509335105929,0.8542146416589489,0.9307869842523252,0.7689290896837685,0.988472889015074,0.7771960800508309
129,0.78480676,0.0,0.0,0.965072093,0.797210113,0.0,0.0,0.992240919,0.797210113,0.0,0.0,0.992240919,0.797210113,0.0,0.0,0.992240919,0.8341654542945779,0.8341654542945779,0.9012984545635558,0.0,0.9880163739957106,0.981744005635344,0.8542146416589489,0.9339054849589576,0.7690306537360002,0.9887474740806108,0.7801063405163529
130,0.78480676,0.0,0.0,0.962083951,0.797420715,0.0,0.0,0.992648149,0.797420715,0.0,0.0,0.992648149,0.797420715,0.0,0.0,0.992648149,0.8341654542945779,0.8341654542945779,0.9022087873934568,0.0,0.9877873047384902,0.9755334435900024,0.8542146416589489,0.9337904401496884,0.7689887130852602,0.9895198235893186,0.780265836487988
131,0.78480676,0.0,0.0,0.960470441,0.797420715,0.0,0.0,0.992964004,0.797420715,0.0,0.0,0.992964004,0.797420715,0.0,0.0,0.992964004,0.8354377772809307,0.8354377772809307,0.9038582330063512,0.0,0.987969131926026,0.9816972266051568,0.8542146416589489,0.93272836432557,0.7697350758980068,0.9897935266350424,0.7835389536390792
