,datetime,latitude,longitude,pressure,salinity,temperature,label,score
5356,-0.0523694708495878,-0.4253844632165226,0.2478569041520093,-0.0732700793997108,-0.0779371595218442,0.0979925854979343,0,0.42676991644507234
19602,-0.0567686536896386,-0.4290675807231489,0.250423825527317,-0.042207175373709,-0.1604529594433299,0.0554181941922172,0,0.42676991644507234
5160,-0.0523694708495878,-0.4253844632165226,0.2478569041520093,-0.04389537667947,-0.2017108594040141,-0.0027559740804799,0,0.42676991644507234
6300,-0.0611192267745508,-0.4342977646451383,0.2555950324900912,-0.1110857886487565,-0.069685579529719,0.087917729540093,0,0.42676991644507234
7342,-0.0305011572565724,-0.3900414560980342,0.2679700595570767,-0.0800228846227546,0.0293333803760168,0.1135923624649147,0,0.42676991644507234
15382,-0.7436305700186308,-0.6785497097407459,-0.9896401979147248,0.3197431845814419,-1.0516235985948947,-1.2250634985140822,0,0.4267683994659254
18372,-0.7392435396173646,-0.6766924447294108,-0.9961509118833912,0.353169570435509,-0.9856109586577764,-1.261787973457182,0,0.4267683994659254
8406,-1.159991351439633,-0.6652936279684989,-1.3886843791385957,0.1657792254960418,-0.5070193191134057,-1.0316912631942223,0,0.42676724778134106
14668,0.3457322712974465,0.7828233618435917,0.8350560485438127,-0.3768086741755325,0.8957492795511476,0.7795078417428865,0,0.4267637143743102
4682,0.3457322712974465,0.7828233618435917,0.8350560485438127,-0.4119232613353605,1.0195229794333176,0.8363820286016688,0,0.4267637143743102
1349,-0.358617004442687,-0.8729971106422763,-0.0340990454299147,0.1786095554198251,-0.9278498987127248,-0.9891168718885052,0,0.42675633584538364
8891,-0.358617004442687,-0.8729971106422763,-0.0340990454299147,0.2066336970954572,-0.9443530586970336,-1.0505409936959902,0,0.42675633584538364
16558,-0.358617004442687,-0.8729971106422763,-0.0340990454299147,0.0887972459533419,-0.9691077986734676,-0.9208678476579664,0,0.42675633584538364
18990,-0.358617004442687,-0.8729971106422763,-0.0340990454299147,-0.0266757233607082,-0.9361014787049085,-0.698896021231976,0,0.42675633584538364
16723,-0.358617004442687,-0.8729971106422763,-0.0340990454299147,0.0145163884998594,-0.9443530586970336,-0.7791698735412288,0,0.42675633584538364
1335,-0.358617004442687,-0.8729971106422763,-0.0340990454299147,0.169493268368716,-0.9278498987127248,-0.9806669926980576,0,0.42675633584538364
9829,-0.1705519380305123,-0.516359036255992,0.283033441688886,-0.1323571251013446,0.5574344998732556,0.5240614939085838,0,0.42675266848383553
3041,-1.1253265198063591,-0.6857863681253012,-1.4582714878630942,-0.4679715446866247,0.4171576400067768,0.3830135104988035,0,0.42674419235932537
14120,0.372005843949905,1.032713853569814,0.9440044865669706,-0.1289807224898226,0.2603776201560478,0.298514718594327,0,0.42673962504034646
1181,0.3676613470843851,0.9928199581888716,0.9237474789450918,-0.155654303120846,0.1943649802188709,0.3163894630356585,0,0.42673962504034646
8,-0.7086133176606015,-0.684565206563936,-1.0179080926234447,-0.1303312835344315,0.4749186999517699,0.5198365543133601,0,0.42673862456749045
18221,-0.6823701261051046,-0.7073000150536662,-0.9944601812832068,-0.8927229932160837,-0.4410066791762288,1.4905976751544048,0,0.426730026675934
10865,-0.6780134768008002,-0.7197511511021848,-0.9920688717050452,0.1370798032981054,-0.8618372587756065,-0.3709757095719109,0,0.4267281580356528
17111,0.1488566867663854,-0.2674658919142891,0.4356681165680812,-0.2154166293447842,-0.7050572389248189,-0.5724728287287398,0,0.42671818134176187
5970,0.1488566867663854,-0.2674658919142891,0.4356681165680812,-0.2755165958298746,-0.6225414390033918,-0.4821241204616456,0,0.42671818134176187
6576,0.1488566867663854,-0.2674658919142891,0.4356681165680812,-0.234324483969307,-0.6637993389641347,-0.5666229123661222,0,0.42671818134176187
17325,0.4244922270608986,1.1434390460744508,0.99365218347294,0.3815313523722933,-0.655547758971951,-1.253663089620213,0,0.42669662054434704
12827,0.4244922270608986,1.1434390460744508,0.99365218347294,0.346079124951313,-0.655547758971951,-1.2344883637649664,0,0.42669662054434704
