,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1
0,0.001986346,0.007793317,-0.001550383,0,0.11625418,0.120952963
1,0.002026417,0.007833038,-0.001571811,0,0.11625418,0.120952963
2,0.002004222,0.007811037,-0.001550383,0,0.11625418,0.120952963
3,0.00196876,0.007775884,-0.001550383,0,0.11625418,0.120952963
4,0.002004222,0.007811037,-0.001550383,0,0.11625418,0.120952963
5,0.002019851,0.00782653,-0.001550383,0,0.11625418,0.120952963
6,0.002066256,0.00787253,-0.001593027,0,0.11625418,0.120952963
7,0.001978799,0.007785836,-0.001550383,0,0.11625418,0.120952963
8,0.002016044,0.007822756,-0.001571811,0,0.11625418,0.120952963
9,0.001955413,0.007762654,-0.001571811,0,0.11625418,0.120952963
10,0.001955413,0.007762654,-0.001571811,0,0.11625418,0.120952963
11,0.001984878,0.007791861,-0.001550383,0,0.11625418,0.120952963
12,0.001908851,0.007716498,-0.001550383,0,0.11625418,0.120952963
13,0.001915439,0.007723029,-0.001550383,0,0.11625418,0.120952963
14,0.001975869,0.007782931,-0.001550383,0,0.11625418,0.120952963
15,0.002015198,0.007821917,-0.001550383,0,0.11625418,0.120952963
16,0.00191132,0.007718946,-0.001550383,0,0.11625418,0.120952963
17,0.001901863,0.007709571,-0.001550383,0,0.11625418,0.120952963
18,0.00196083,0.007768023,-0.001550383,0,0.11625418,0.120952963
19,0.001944188,0.007751526,-0.001550383,0,0.11625418,0.120952963
20,0.001897963,0.007705705,-0.001571811,0,0.11625418,0.120952963
21,0.001898168,0.007705909,-0.001634837,0,0.11625418,0.120952963
22,0.001904533,0.007712218,-0.001614034,0,0.11625418,0.120952963
23,0.001971476,0.007778577,-0.001634837,0,0.11625418,0.120952963
24,0.001937758,0.007745153,-0.001550383,0,0.11625418,0.120952963
25,0.001898168,0.007705909,-0.001593027,0,0.11625418,0.120952963
26,0.001980685,0.007787705,-0.001593027,0,0.11625418,0.120952963
27,0.001993487,0.007800395,-0.001571811,0,0.11625418,0.120952963
28,0.001897758,0.007705502,-0.001528742,0,0.11625418,0.120952963
29,0.001911526,0.00771915,-0.001571811,0,0.11625418,0.120952963
30,0.001910703,0.007718334,-0.001571811,0,0.11625418,0.120952963
31,0.002021545,0.007828208,-0.001550383,0,0.11625418,0.120952963
32,0.001961455,0.007768643,-0.001550383,0,0.11625418,0.120952963
33,0.007248363,0.013004165,-0.001593027,0,0.11625418,0.120952963
34,0.008028062,0.013776773,-0.001593027,0,0.11625418,0.120952963
