iter	Logloss
0	0.6829415894
1	0.6722765096
2	0.6605410767
3	0.6499982707
4	0.6394561259
5	0.6291588847
6	0.6180515544
7	0.610034078
8	0.6024975077
9	0.5936974589
10	0.5830688985
11	0.5726440938
12	0.5627804565
13	0.554131724
14	0.5458966064
15	0.5362923177
16	0.5256396484
17	0.5193161519
18	0.5103162638
19	0.5008296712
20	0.4916080729
21	0.4823403422
22	0.4750073242
23	0.4653755188
24	0.4579685974
25	0.4506514486
26	0.4426798503
27	0.4350470988
28	0.4269760132
29	0.4194882456
30	0.4116028341
31	0.4054523468
32	0.4010088348
33	0.395896047
34	0.3892134349
35	0.381255188
36	0.3739503225
37	0.3677960205
38	0.3612517802
39	0.3543741353
40	0.3478849284
41	0.3430988566
42	0.3379118856
43	0.3321853129
44	0.3261997223
45	0.3214124044
46	0.3164975484
47	0.3105838013
48	0.3056423442
49	0.3005235036
50	0.2948030599
51	0.2894881694
52	0.2855399831
53	0.2817693329
54	0.2772691854
55	0.2725086721
56	0.2674177551
57	0.2635436757
58	0.2594221751
59	0.2544920349
60	0.250129954
61	0.2451771545
62	0.241343689
63	0.2372386169
64	0.2333185832
65	0.2294547272
66	0.2262035116
67	0.2223892212
68	0.2192536418
69	0.2154224904
70	0.2118387858
71	0.2091452535
72	0.2064885966
73	0.2032660929
74	0.200189387
75	0.1970916748
76	0.1936303329
77	0.1912891897
78	0.1887760417
79	0.1854785919
80	0.1829335276
81	0.1802769725
82	0.1777980042
83	0.1750554911
84	0.1718585205
85	0.1688211441
86	0.1666933823
87	0.1643895086
88	0.1620408376
89	0.1596945572
90	0.1576139832
91	0.1549521637
92	0.1524609502
93	0.1510508219
94	0.1486581167
95	0.1469560877
96	0.1446608226
97	0.1426887004
98	0.1407100932
99	0.1387140656
100	0.1367975108
101	0.134752477
102	0.1329270172
103	0.1311421712
104	0.1295974096
105	0.1278060913
106	0.1260673396
107	0.1247487768
108	0.122886912
109	0.1213030624
110	0.1199247742
111	0.1183957926
112	0.1173564021
113	0.115810051
114	0.1141534551
115	0.1124865468
116	0.1112597911
117	0.1097401937
118	0.1082078298
119	0.106490771
120	0.1052076085
121	0.1038744036
122	0.1026310984
123	0.1014292971
124	0.10022988
125	0.09934278488
126	0.09790285746
127	0.09674945831
128	0.09548357646
129	0.09467269897
130	0.09359918594
131	0.09219458262
132	0.09122814178
133	0.09021650314
134	0.0889385732
135	0.0879120636
136	0.08711942037
137	0.08620972315
138	0.08513916651
139	0.08424883525
140	0.0832493782
141	0.08233879725
142	0.08153133392
143	0.0807216835
144	0.07937965393
145	0.07844995499
146	0.07750878016
147	0.07661664327
148	0.07578570684
149	0.07484002431
150	0.07403797785
151	0.07314328512
152	0.07246786753
153	0.07171959559
154	0.07108791351
155	0.07026158015
156	0.06947081248
157	0.06878893534
158	0.06809029897
159	0.06731540044
160	0.06658014933
161	0.06598462423
162	0.06526894887
163	0.06456851959
164	0.06398363113
165	0.06340908051
166	0.06272082011
167	0.06212709427
168	0.06170244853
169	0.06105744044
170	0.06026914597
171	0.05970335642
172	0.05917948405
173	0.0587013944
174	0.05807361603
175	0.05750774384
176	0.05685352325
177	0.05627486547
178	0.05564314524
179	0.05496307373
180	0.05436317444
181	0.0539058876
182	0.05326209386
183	0.05274627368
184	0.05226016363
185	0.05176415761
186	0.05123104731
187	0.05064841906
188	0.05023907344
189	0.04977685293
190	0.04934771856
191	0.04896512032
192	0.04847452164
193	0.04786938032
194	0.04737746557
195	0.04692083359
196	0.04643718084
197	0.04589577357
198	0.04550279617
199	0.04497058233
200	0.04461296082
201	0.04419962565
202	0.04382622401
203	0.0433965079
204	0.04296587308
205	0.04257290522
206	0.04226842562
207	0.04185056686
208	0.04150787036
209	0.04111441612
210	0.04064816157
211	0.04038783391
212	0.04008366267
213	0.03967888196
214	0.03938641866
215	0.0390495046
216	0.03872930527
217	0.03845406532
218	0.0381547451
219	0.03781690598
220	0.03759346326
221	0.03718751272
